hmdb_primary,polar_surface_area,polarizability
HMDB0048265,78.9,106.74
HMDB0048266,78.9,113.59
HMDB0048267,78.9,111.82
HMDB0048268,78.9,109.5
HMDB0048269,78.9,104.56
HMDB0048270,78.9,102.44
HMDB0048271,78.9,106.97
HMDB0048272,78.9,105.38
HMDB0048273,78.9,109.57
HMDB0048274,78.9,108.22
HMDB0048275,61.83,108.06
HMDB0048276,78.9,97.64
HMDB0048277,78.9,101.78
HMDB0048278,78.9,105.79
HMDB0048279,78.9,106.09
HMDB0048280,78.9,109.89
HMDB0048281,78.9,107.92
HMDB0048282,78.9,114.41
HMDB0048283,78.9,118.63
HMDB0048284,78.9,104.41
HMDB0048285,78.9,102.36
HMDB0048286,78.9,108.73
HMDB0048287,78.9,106.6
HMDB0048288,78.9,105.15
HMDB0048289,78.9,113.0
HMDB0048290,78.9,111.35
HMDB0048291,78.9,108.44
HMDB0048292,78.9,103.81
HMDB0048293,78.9,101.14
HMDB0048294,78.9,105.49
HMDB0048295,78.9,103.96
HMDB0048296,78.9,108.31
HMDB0048297,78.9,106.85
HMDB0048298,61.83,107.58
HMDB0048299,78.9,101.94
HMDB0048300,78.9,105.76
HMDB0048301,78.9,110.09
HMDB0048302,78.9,110.4
HMDB0048303,78.9,114.42
HMDB0048304,78.9,112.09
HMDB0048305,78.9,118.57
HMDB0048306,78.9,122.93
HMDB0048307,78.9,108.75
HMDB0048308,78.9,106.4
HMDB0048309,78.9,112.92
HMDB0048310,78.9,110.91
HMDB0048311,78.9,109.28
HMDB0048312,78.9,117.13
HMDB0048313,78.9,115.48
HMDB0048314,78.9,112.47
HMDB0048315,78.9,108.15
HMDB0048316,78.9,105.49
HMDB0048317,78.9,109.69
HMDB0048318,78.9,108.26
HMDB0048319,78.9,112.46
HMDB0048320,78.9,111.0
HMDB0048321,61.83,111.96
HMDB0048322,78.9,100.45
HMDB0048323,78.9,104.46
HMDB0048324,78.9,108.89
HMDB0048325,78.9,108.87
HMDB0048326,78.9,112.93
HMDB0048327,78.9,110.67
HMDB0048328,78.9,117.26
HMDB0048329,78.9,121.5
HMDB0048330,78.9,107.43
HMDB0048331,78.9,105.27
HMDB0048332,78.9,111.77
HMDB0048333,78.9,109.69
HMDB0048334,78.9,108.81
HMDB0048335,78.9,116.0
HMDB0048336,78.9,114.18
HMDB0048337,78.9,110.97
HMDB0048338,78.9,106.7
HMDB0048339,78.9,104.0
HMDB0048340,78.9,108.38
HMDB0048341,78.9,107.33
HMDB0048342,78.9,111.58
HMDB0048343,78.9,109.01
HMDB0048344,61.83,109.51
HMDB0048345,78.9,103.52
HMDB0048346,78.9,107.9
HMDB0048347,78.9,111.79
HMDB0048348,78.9,112.01
HMDB0048349,78.9,115.9
HMDB0048350,78.9,114.03
HMDB0048351,78.9,120.32
HMDB0048352,78.9,124.52
HMDB0048353,78.9,110.32
HMDB0048354,78.9,108.94
HMDB0048355,78.9,114.73
HMDB0048356,78.9,112.85
HMDB0048357,78.9,112.44
HMDB0048358,78.9,118.97
HMDB0048359,78.9,117.55
HMDB0048360,78.9,114.58
HMDB0048361,78.9,109.88
HMDB0048362,78.9,108.69
HMDB0048363,78.9,112.93
HMDB0048364,78.9,111.03
HMDB0048365,78.9,115.2
HMDB0048366,78.9,113.05
HMDB0048367,61.83,113.5
HMDB0048368,78.9,103.05
HMDB0048369,78.9,107.11
HMDB0048370,78.9,111.44
HMDB0048371,78.9,111.52
HMDB0048372,78.9,115.54
HMDB0048373,78.9,113.39
HMDB0048374,78.9,119.86
HMDB0048375,78.9,124.12
HMDB0048376,78.9,110.08
HMDB0048377,78.9,107.28
HMDB0048378,78.9,114.46
HMDB0048379,78.9,111.71
HMDB0048380,78.9,110.83
HMDB0048381,78.9,118.59
HMDB0048382,78.9,116.86
HMDB0048383,78.9,112.97
HMDB0048384,78.9,109.28
HMDB0048385,78.9,105.95
HMDB0048386,78.9,110.19
HMDB0048387,78.9,109.31
HMDB0048388,78.9,113.53
HMDB0048389,78.9,111.14
HMDB0048390,61.83,113.53
HMDB0048391,61.83,102.81
HMDB0048392,61.83,106.9
HMDB0048393,61.83,111.18
HMDB0048394,61.83,111.08
HMDB0048395,61.83,115.41
HMDB0048396,61.83,113.22
HMDB0048397,61.83,119.65
HMDB0048398,61.83,123.99
HMDB0048399,61.83,109.84
HMDB0048400,61.83,108.37
HMDB0048401,61.83,114.18
HMDB0048402,61.83,112.62
HMDB0048403,61.83,111.44
HMDB0048404,61.83,118.43
HMDB0048405,61.83,116.68
HMDB0048406,61.83,113.72
HMDB0048407,61.83,109.08
HMDB0048408,61.83,106.94
HMDB0048409,61.83,111.21
HMDB0048410,61.83,110.05
HMDB0048411,61.83,114.38
HMDB0048412,61.83,112.2
HMDB0048416,78.9,110.31
HMDB0048417,78.9,107.97
HMDB0048418,78.9,114.54
HMDB0048419,78.9,118.9
HMDB0048421,78.9,103.15
HMDB0048422,78.9,108.89
HMDB0048423,78.9,107.35
HMDB0048424,78.9,106.52
HMDB0048425,78.9,113.15
HMDB0048426,78.9,111.38
HMDB0048427,78.9,109.14
HMDB0048428,78.9,104.02
HMDB0048429,78.9,102.08
HMDB0048430,78.9,106.33
HMDB0048431,78.9,105.09
HMDB0048432,78.9,109.37
HMDB0048433,78.9,107.81
HMDB0048434,61.83,107.88
HMDB0048435,78.9,103.66
HMDB0048436,78.9,108.06
HMDB0048437,78.9,108.3
HMDB0048438,78.9,112.49
HMDB0048439,78.9,110.12
HMDB0048440,78.9,116.72
HMDB0048441,78.9,121.07
HMDB0048442,78.9,106.71
HMDB0048443,78.9,105.46
HMDB0048444,78.9,111.08
HMDB0048445,78.9,109.46
HMDB0048446,78.9,108.61
HMDB0048447,78.9,115.27
HMDB0048448,78.9,113.54
HMDB0048449,78.9,111.35
HMDB0048450,78.9,106.24
HMDB0048451,78.9,104.3
HMDB0048452,78.9,108.4
HMDB0048453,78.9,107.28
HMDB0048454,78.9,111.62
HMDB0048455,78.9,109.98
HMDB0048456,61.83,109.93
HMDB0048457,78.9,105.8
HMDB0048459,78.9,110.42
HMDB0048460,78.9,114.57
HMDB0048461,78.9,112.25
HMDB0048462,78.9,118.77
HMDB0048463,78.9,123.25
HMDB0048464,78.9,108.86
HMDB0048465,78.9,107.58
HMDB0048466,78.9,113.19
HMDB0048467,78.9,111.58
HMDB0048468,78.9,110.74
HMDB0048469,78.9,117.34
HMDB0048470,78.9,115.64
HMDB0048471,78.9,113.54
HMDB0048473,78.9,106.47
HMDB0048474,78.9,110.5
HMDB0048475,78.9,109.45
HMDB0048476,78.9,113.75
HMDB0048477,78.9,112.17
HMDB0048478,61.83,112.15
HMDB0048479,78.9,110.16
HMDB0048483,78.9,116.5
HMDB0048484,78.9,123.07
HMDB0048485,78.9,127.24
HMDB0048487,78.9,111.84
HMDB0048488,78.9,117.41
HMDB0048489,78.9,115.92
HMDB0048491,78.9,121.61
HMDB0048492,78.9,119.95
HMDB0048493,78.9,117.78
HMDB0048494,78.9,112.63
HMDB0048495,78.9,110.86
HMDB0048496,78.9,114.91
HMDB0048497,78.9,113.75
HMDB0048498,78.9,118.01
HMDB0048499,78.9,116.47
HMDB0048500,61.83,116.39
HMDB0048501,78.9,114.53
HMDB0048502,78.9,118.8
HMDB0048503,78.9,119.13
HMDB0048505,78.9,120.84
HMDB0048506,78.9,127.41
HMDB0048507,78.9,131.33
HMDB0048508,78.9,117.53
HMDB0048509,78.9,116.28
HMDB0048510,78.9,121.76
HMDB0048511,78.9,120.29
HMDB0048513,78.9,125.95
HMDB0048514,78.9,124.29
HMDB0048515,78.9,122.08
HMDB0048516,78.9,116.98
HMDB0048517,78.9,115.2
HMDB0048518,78.9,119.29
HMDB0048519,78.9,118.1
HMDB0048520,78.9,122.34
HMDB0048521,78.9,120.8
HMDB0048522,61.83,120.76
HMDB0048523,78.9,119.44
HMDB0048524,78.9,123.17
HMDB0048525,78.9,123.45
HMDB0048526,78.9,127.56
HMDB0048527,78.9,125.17
HMDB0048528,78.9,131.73
HMDB0048529,78.9,135.63
HMDB0048530,78.9,121.89
HMDB0048531,78.9,120.54
HMDB0048532,78.9,126.11
HMDB0048533,78.9,124.63
HMDB0048534,78.9,123.81
HMDB0048535,78.9,130.27
HMDB0048536,78.9,128.64
HMDB0048537,78.9,126.35
HMDB0048538,78.9,121.36
HMDB0048539,78.9,119.51
HMDB0048540,78.9,123.62
HMDB0048541,78.9,122.44
HMDB0048542,78.9,126.67
HMDB0048543,78.9,125.09
HMDB0048544,61.83,124.96
HMDB0048545,78.9,123.23
HMDB0048546,78.9,127.49
HMDB0048547,78.9,127.8
HMDB0048548,78.9,131.91
HMDB0048549,78.9,129.55
HMDB0048550,78.9,136.06
HMDB0048551,78.9,139.92
HMDB0048552,78.9,126.22
HMDB0048553,78.9,124.87
HMDB0048554,78.9,130.46
HMDB0048555,78.9,128.99
HMDB0048556,78.9,128.12
HMDB0048557,78.9,134.65
HMDB0048558,78.9,132.97
HMDB0048559,78.9,130.7
HMDB0048560,78.9,125.71
HMDB0048561,78.9,123.86
HMDB0048562,78.9,127.93
HMDB0048563,78.9,126.74
HMDB0048564,78.9,131.05
HMDB0048565,78.9,129.38
HMDB0048566,61.83,129.37
HMDB0048567,78.9,100.44
HMDB0048568,78.9,104.69
HMDB0048569,78.9,104.95
HMDB0048570,78.9,109.14
HMDB0048571,78.9,106.78
HMDB0048572,78.9,113.34
HMDB0048573,78.9,117.65
HMDB0048574,78.9,103.43
HMDB0048575,78.9,102.29
HMDB0048576,78.9,107.85
HMDB0048577,78.9,106.1
HMDB0048578,78.9,105.31
HMDB0048579,78.9,112.02
HMDB0048580,78.9,110.1
HMDB0048581,78.9,107.42
HMDB0048582,78.9,102.79
HMDB0048583,78.9,100.54
HMDB0048584,78.9,104.56
HMDB0048585,78.9,103.97
HMDB0048586,78.9,108.36
HMDB0048587,78.9,106.35
HMDB0048588,61.83,106.28
HMDB0048590,78.9,108.63
HMDB0048593,78.9,110.76
HMDB0048594,78.9,117.06
HMDB0048595,78.9,121.41
HMDB0048597,78.9,106.6
HMDB0048598,78.9,111.54
HMDB0048599,78.9,110.36
HMDB0048601,78.9,115.82
HMDB0048602,78.9,114.09
HMDB0048603,78.9,112.34
HMDB0048604,78.9,106.61
HMDB0048605,78.9,105.2
HMDB0048606,78.9,109.11
HMDB0048607,78.9,107.79
HMDB0048608,78.9,111.86
HMDB0048609,78.9,110.94
HMDB0048610,61.83,110.71
HMDB0048611,78.9,108.37
HMDB0048612,78.9,112.8
HMDB0048613,78.9,112.76
HMDB0048614,78.9,116.97
HMDB0048615,78.9,114.82
HMDB0048616,78.9,121.27
HMDB0048617,78.9,125.59
HMDB0048618,78.9,111.32
HMDB0048619,78.9,110.7
HMDB0048620,78.9,115.71
HMDB0048621,78.9,114.92
HMDB0048622,78.9,113.07
HMDB0048623,78.9,120.0
HMDB0048624,78.9,118.37
HMDB0048625,78.9,116.15
HMDB0048626,78.9,110.92
HMDB0048627,78.9,109.2
HMDB0048628,78.9,113.57
HMDB0048629,78.9,111.98
HMDB0048630,78.9,116.41
HMDB0048631,78.9,114.73
HMDB0048632,61.83,114.96
HMDB0048633,78.9,108.85
HMDB0048634,78.9,113.33
HMDB0048637,78.9,115.2
HMDB0048638,78.9,121.74
HMDB0048639,78.9,125.99
HMDB0048641,78.9,110.9
HMDB0048642,78.9,116.32
HMDB0048643,78.9,114.52
HMDB0048645,78.9,120.43
HMDB0048646,78.9,118.44
HMDB0048647,78.9,115.76
HMDB0048648,78.9,111.18
HMDB0048649,78.9,108.92
HMDB0048650,78.9,112.93
HMDB0048651,78.9,112.53
HMDB0048652,78.9,116.8
HMDB0048653,78.9,114.76
HMDB0048654,61.83,114.54
HMDB0048655,78.9,113.23
HMDB0048656,78.9,117.56
HMDB0048657,78.9,117.63
HMDB0048659,78.9,119.36
HMDB0048660,78.9,125.94
HMDB0048661,78.9,130.1
HMDB0048662,78.9,116.07
HMDB0048663,78.9,114.38
HMDB0048664,78.9,120.45
HMDB0048665,78.9,119.21
HMDB0048667,78.9,124.6
HMDB0048668,78.9,122.75
HMDB0048669,78.9,120.15
HMDB0048670,78.9,115.38
HMDB0048671,78.9,113.38
HMDB0048672,78.9,117.43
HMDB0048673,78.9,116.67
HMDB0048674,78.9,121.07
HMDB0048675,78.9,118.87
HMDB0048676,61.83,118.87
HMDB0048677,78.9,111.61
HMDB0048678,78.9,115.88
HMDB0048679,78.9,115.89
HMDB0048680,78.9,120.02
HMDB0048681,78.9,117.79
HMDB0048682,78.9,124.39
HMDB0048683,78.9,128.55
HMDB0048684,78.9,114.51
HMDB0048685,78.9,112.09
HMDB0048686,78.9,118.98
HMDB0048687,78.9,116.51
HMDB0048688,78.9,115.49
HMDB0048689,78.9,123.05
HMDB0048690,78.9,121.29
HMDB0048691,78.9,117.65
HMDB0048692,78.9,113.83
HMDB0048693,78.9,110.7
HMDB0048694,78.9,114.79
HMDB0048695,78.9,114.07
HMDB0048696,78.9,118.43
HMDB0048697,78.9,115.86
HMDB0048698,61.83,116.17
HMDB0048699,78.9,117.47
HMDB0048700,78.9,121.78
HMDB0048701,78.9,121.86
HMDB0048702,78.9,126.03
HMDB0048703,78.9,123.54
HMDB0048704,78.9,130.15
HMDB0048705,78.9,134.26
HMDB0048706,78.9,120.28
HMDB0048707,78.9,118.77
HMDB0048708,78.9,124.67
HMDB0048709,78.9,122.79
HMDB0048710,78.9,122.14
HMDB0048711,78.9,128.78
HMDB0048712,78.9,126.9
HMDB0048713,78.9,124.57
HMDB0048714,78.9,119.67
HMDB0048715,78.9,117.59
HMDB0048716,78.9,121.8
HMDB0048717,78.9,120.88
HMDB0048718,78.9,125.21
HMDB0048719,78.9,123.2
HMDB0048720,61.83,123.21
HMDB0048721,78.9,121.55
HMDB0048722,78.9,126.0
HMDB0048723,78.9,126.1
HMDB0048724,78.9,130.28
HMDB0048725,78.9,127.79
HMDB0048726,78.9,134.42
HMDB0048727,78.9,138.53
HMDB0048728,78.9,124.48
HMDB0048729,78.9,123.14
HMDB0048730,78.9,128.9
HMDB0048731,78.9,127.14
HMDB0048732,78.9,126.37
HMDB0048733,78.9,133.04
HMDB0048734,78.9,131.18
HMDB0048735,78.9,128.95
HMDB0048736,78.9,123.82
HMDB0048737,78.9,121.96
HMDB0048738,78.9,126.0
HMDB0048739,78.9,125.14
HMDB0048740,78.9,129.48
HMDB0048741,78.9,127.63
HMDB0048742,61.83,127.52
HMDB0048743,78.9,107.38
HMDB0048744,78.9,111.75
HMDB0048745,78.9,111.71
HMDB0048747,78.9,114.08
HMDB0048748,78.9,120.17
HMDB0048749,78.9,124.54
HMDB0048751,78.9,109.24
HMDB0048752,78.9,114.75
HMDB0048753,78.9,113.11
HMDB0048755,78.9,118.98
HMDB0048756,78.9,117.19
HMDB0048757,78.9,114.99
HMDB0048758,78.9,109.99
HMDB0048759,78.9,108.22
HMDB0048760,78.9,112.33
HMDB0048761,78.9,110.92
HMDB0048762,78.9,115.1
HMDB0048763,78.9,113.69
HMDB0048764,61.83,113.26
HMDB0048765,78.9,106.7
HMDB0048766,78.9,110.75
HMDB0048767,78.9,110.97
HMDB0048768,78.9,114.91
HMDB0048769,78.9,112.95
HMDB0048770,78.9,119.4
HMDB0048771,78.9,123.7
HMDB0048772,78.9,109.3
HMDB0048773,78.9,108.08
HMDB0048774,78.9,113.73
HMDB0048775,78.9,112.26
HMDB0048776,78.9,110.61
HMDB0048777,78.9,118.01
HMDB0048778,78.9,116.32
HMDB0048779,78.9,113.97
HMDB0048780,78.9,109.0
HMDB0048781,78.9,106.64
HMDB0048782,78.9,111.06
HMDB0048783,78.9,109.5
HMDB0048784,78.9,113.98
HMDB0048785,78.9,112.36
HMDB0048786,61.83,112.34
HMDB0048787,78.9,111.62
HMDB0048788,78.9,115.96
HMDB0048789,78.9,116.1
HMDB0048790,78.9,119.77
HMDB0048791,78.9,118.07
HMDB0048792,78.9,124.43
HMDB0048793,78.9,128.51
HMDB0048794,78.9,114.41
HMDB0048795,78.9,113.35
HMDB0048796,78.9,118.86
HMDB0048797,78.9,117.56
HMDB0048798,78.9,116.49
HMDB0048799,78.9,123.05
HMDB0048800,78.9,121.51
HMDB0048801,78.9,119.15
HMDB0048802,78.9,114.16
HMDB0048803,78.9,112.27
HMDB0048804,78.9,116.51
HMDB0048805,78.9,115.19
HMDB0048806,78.9,119.59
HMDB0048807,78.9,117.82
HMDB0048808,61.83,117.65
HMDB0048809,78.9,110.92
HMDB0048810,78.9,114.99
HMDB0048811,78.9,115.25
HMDB0048812,78.9,119.09
HMDB0048813,78.9,117.03
HMDB0048814,78.9,123.59
HMDB0048815,78.9,127.88
HMDB0048816,78.9,113.6
HMDB0048817,78.9,112.16
HMDB0048818,78.9,117.92
HMDB0048819,78.9,116.57
HMDB0048820,78.9,114.85
HMDB0048821,78.9,122.08
HMDB0048822,78.9,120.63
HMDB0048823,78.9,117.91
HMDB0048824,78.9,113.26
HMDB0048825,78.9,110.91
HMDB0048826,78.9,115.21
HMDB0048827,78.9,113.7
HMDB0048828,78.9,118.17
HMDB0048829,78.9,116.35
HMDB0048830,61.83,116.54
HMDB0048831,78.9,109.77
HMDB0048832,78.9,114.0
HMDB0048833,78.9,114.03
HMDB0048834,78.9,118.13
HMDB0048835,78.9,115.92
HMDB0048836,78.9,122.53
HMDB0048837,78.9,126.7
HMDB0048838,78.9,112.61
HMDB0048839,78.9,110.65
HMDB0048840,78.9,117.13
HMDB0048841,78.9,115.02
HMDB0048843,78.9,121.24
HMDB0048844,78.9,119.45
HMDB0048845,78.9,116.29
HMDB0048846,78.9,112.04
HMDB0048847,78.9,109.21
HMDB0048848,78.9,113.62
HMDB0048849,78.9,112.68
HMDB0048850,78.9,116.95
HMDB0048851,78.9,114.59
HMDB0048852,61.83,114.82
HMDB0048853,78.9,115.81
HMDB0048854,78.9,120.35
HMDB0048855,78.9,120.31
HMDB0048856,78.9,124.33
HMDB0048857,78.9,122.12
HMDB0048858,78.9,128.61
HMDB0048859,78.9,132.88
HMDB0048860,78.9,118.7
HMDB0048861,78.9,117.64
HMDB0048862,78.9,123.0
HMDB0048863,78.9,121.79
HMDB0048864,78.9,120.76
HMDB0048865,78.9,127.18
HMDB0048866,78.9,125.6
HMDB0048867,78.9,123.42
HMDB0048868,78.9,118.56
HMDB0048869,78.9,116.45
HMDB0048870,78.9,120.69
HMDB0048871,78.9,119.46
HMDB0048872,78.9,123.78
HMDB0048873,78.9,122.08
HMDB0048874,61.83,121.87
HMDB0048875,78.9,112.36
HMDB0048876,78.9,116.89
HMDB0048877,78.9,116.75
HMDB0048878,78.9,121.06
HMDB0048879,78.9,119.52
HMDB0048880,78.9,125.39
HMDB0048881,78.9,129.79
HMDB0048882,78.9,115.6
HMDB0048883,78.9,114.53
HMDB0048884,78.9,119.9
HMDB0048885,78.9,118.34
HMDB0048886,78.9,117.93
HMDB0048887,78.9,123.92
HMDB0048888,78.9,122.46
HMDB0048889,78.9,119.94
HMDB0048890,78.9,115.47
HMDB0048891,78.9,113.95
HMDB0048892,78.9,117.54
HMDB0048893,78.9,116.52
HMDB0048894,78.9,120.76
HMDB0048895,78.9,118.26
HMDB0048896,61.83,118.7
HMDB0048897,78.9,112.28
HMDB0048898,78.9,116.61
HMDB0048899,78.9,116.5
HMDB0048900,78.9,120.68
HMDB0048901,78.9,118.47
HMDB0048902,78.9,125.02
HMDB0048903,78.9,129.21
HMDB0048904,78.9,115.26
HMDB0048905,78.9,112.89
HMDB0048906,78.9,119.67
HMDB0048907,78.9,117.15
HMDB0048908,78.9,116.18
HMDB0048909,78.9,123.82
HMDB0048910,78.9,122.01
HMDB0048911,78.9,118.48
HMDB0048912,78.9,114.52
HMDB0048913,78.9,111.36
HMDB0048914,78.9,115.79
HMDB0048915,78.9,114.85
HMDB0048916,78.9,119.12
HMDB0048917,78.9,116.67
HMDB0048918,61.83,118.68
HMDB0048919,78.9,106.26
HMDB0048920,78.9,110.54
HMDB0048921,78.9,110.73
HMDB0048922,78.9,114.84
HMDB0048923,78.9,112.87
HMDB0048924,78.9,119.12
HMDB0048925,78.9,123.49
HMDB0048926,78.9,109.27
HMDB0048927,78.9,108.62
HMDB0048928,78.9,113.51
HMDB0048929,78.9,112.58
HMDB0048930,78.9,110.8
HMDB0048931,78.9,117.73
HMDB0048932,78.9,115.96
HMDB0048933,78.9,113.67
HMDB0048934,78.9,108.79
HMDB0048935,78.9,106.46
HMDB0048936,78.9,111.03
HMDB0048937,78.9,109.56
HMDB0048938,78.9,113.76
HMDB0048939,78.9,112.4
HMDB0048940,61.83,112.17
HMDB0048941,78.9,105.82
HMDB0048942,78.9,109.84
HMDB0048943,78.9,110.12
HMDB0048944,78.9,114.0
HMDB0048945,78.9,112.07
HMDB0048946,78.9,118.53
HMDB0048947,78.9,122.74
HMDB0048948,78.9,108.53
HMDB0048949,78.9,106.53
HMDB0048950,78.9,112.9
HMDB0048951,78.9,110.76
HMDB0048952,78.9,109.17
HMDB0048953,78.9,117.12
HMDB0048954,78.9,115.49
HMDB0048955,78.9,112.61
HMDB0048956,78.9,108.03
HMDB0048957,78.9,105.17
HMDB0048958,78.9,109.49
HMDB0048959,78.9,108.01
HMDB0048960,78.9,112.44
HMDB0048961,78.9,111.0
HMDB0048962,61.83,111.66
HMDB0048963,78.9,109.86
HMDB0048964,78.9,114.19
HMDB0048965,78.9,114.45
HMDB0048966,78.9,118.57
HMDB0048967,78.9,116.18
HMDB0048968,78.9,122.73
HMDB0048969,78.9,127.04
HMDB0048970,78.9,112.82
HMDB0048971,78.9,110.58
HMDB0048972,78.9,117.1
HMDB0048973,78.9,114.97
HMDB0048974,78.9,113.45
HMDB0048975,78.9,121.24
HMDB0048976,78.9,119.6
HMDB0048977,78.9,116.61
HMDB0048978,78.9,112.37
HMDB0048979,78.9,109.51
HMDB0048980,78.9,113.74
HMDB0048981,78.9,112.25
HMDB0048982,78.9,116.71
HMDB0048983,78.9,115.12
HMDB0048984,61.83,115.95
HMDB0048985,78.9,108.65
HMDB0048986,78.9,112.94
HMDB0048987,78.9,112.89
HMDB0048988,78.9,117.03
HMDB0048989,78.9,114.77
HMDB0048990,78.9,121.33
HMDB0048991,78.9,125.56
HMDB0048992,78.9,111.55
HMDB0048993,78.9,109.43
HMDB0048994,78.9,115.99
HMDB0048995,78.9,113.85
HMDB0048996,78.9,112.81
HMDB0048997,78.9,120.13
HMDB0048998,78.9,118.34
HMDB0048999,78.9,115.12
HMDB0049000,78.9,110.9
HMDB0049001,78.9,108.02
HMDB0049002,78.9,112.37
HMDB0049003,78.9,111.44
HMDB0049004,78.9,115.87
HMDB0049005,78.9,113.22
HMDB0049006,61.83,113.65
HMDB0049007,78.9,111.95
HMDB0049008,78.9,115.81
HMDB0049009,78.9,116.04
HMDB0049010,78.9,119.98
HMDB0049011,78.9,118.16
HMDB0049012,78.9,124.45
HMDB0049013,78.9,128.65
HMDB0049014,78.9,114.45
HMDB0049015,78.9,113.12
HMDB0049016,78.9,118.88
HMDB0049017,78.9,116.94
HMDB0049018,78.9,116.52
HMDB0049019,78.9,123.09
HMDB0049020,78.9,121.79
HMDB0049021,78.9,118.76
HMDB0049022,78.9,114.07
HMDB0049023,78.9,112.66
HMDB0049024,78.9,116.11
HMDB0049025,78.9,115.12
HMDB0049026,78.9,119.45
HMDB0049027,78.9,117.37
HMDB0049028,61.83,117.5
HMDB0049029,78.9,111.28
HMDB0049030,78.9,115.48
HMDB0049031,78.9,115.54
HMDB0049032,78.9,119.58
HMDB0049033,78.9,117.44
HMDB0049034,78.9,123.95
HMDB0049035,78.9,128.2
HMDB0049036,78.9,114.14
HMDB0049037,78.9,111.46
HMDB0049038,78.9,118.63
HMDB0049039,78.9,115.76
HMDB0049040,78.9,114.69
HMDB0049041,78.9,122.77
HMDB0049042,78.9,120.95
HMDB0049043,78.9,117.14
HMDB0049044,78.9,113.48
HMDB0049045,78.9,109.97
HMDB0049046,78.9,114.34
HMDB0049047,78.9,113.44
HMDB0049048,78.9,117.7
HMDB0049049,78.9,115.43
HMDB0049050,61.83,117.67
HMDB0049051,61.83,110.91
HMDB0049052,61.83,115.14
HMDB0049053,61.83,115.18
HMDB0049054,61.83,119.55
HMDB0049055,61.83,117.34
HMDB0049056,61.83,123.81
HMDB0049057,61.83,128.12
HMDB0049058,61.83,113.95
HMDB0049059,61.83,112.5
HMDB0049060,61.83,118.34
HMDB0049061,61.83,116.83
HMDB0049062,61.83,115.57
HMDB0049063,61.83,122.57
HMDB0049064,61.83,120.83
HMDB0049065,61.83,117.94
HMDB0049066,61.83,113.26
HMDB0049067,61.83,110.91
HMDB0049068,61.83,115.21
HMDB0049069,61.83,114.05
HMDB0049070,61.83,118.37
HMDB0049071,61.83,116.2
HMDB0049074,78.9,114.33
HMDB0049075,78.9,112.26
HMDB0049076,78.9,118.84
HMDB0049077,78.9,123.18
HMDB0049079,78.9,108.34
HMDB0049080,78.9,113.18
HMDB0049081,78.9,111.6
HMDB0049082,78.9,110.8
HMDB0049083,78.9,117.48
HMDB0049084,78.9,115.67
HMDB0049085,78.9,113.37
HMDB0049086,78.9,108.38
HMDB0049087,78.9,106.79
HMDB0049088,78.9,110.61
HMDB0049089,78.9,109.54
HMDB0049090,78.9,113.67
HMDB0049091,78.9,112.07
HMDB0049092,61.83,112.05
HMDB0049093,78.9,112.36
HMDB0049094,78.9,112.55
HMDB0049095,78.9,116.41
HMDB0049096,78.9,114.41
HMDB0049097,78.9,121.11
HMDB0049098,78.9,125.45
HMDB0049099,78.9,111.04
HMDB0049100,78.9,110.43
HMDB0049101,78.9,115.36
HMDB0049102,78.9,113.76
HMDB0049103,78.9,112.91
HMDB0049104,78.9,119.83
HMDB0049105,78.9,117.85
HMDB0049106,78.9,115.61
HMDB0049107,78.9,110.48
HMDB0049108,78.9,108.87
HMDB0049109,78.9,112.68
HMDB0049110,78.9,111.65
HMDB0049111,78.9,115.93
HMDB0049112,78.9,114.28
HMDB0049113,61.83,114.18
HMDB0049116,78.9,118.47
HMDB0049117,78.9,116.52
HMDB0049118,78.9,123.08
HMDB0049119,78.9,127.48
HMDB0049121,78.9,112.53
HMDB0049122,78.9,117.48
HMDB0049123,78.9,115.89
HMDB0049125,78.9,121.62
HMDB0049126,78.9,119.94
HMDB0049127,78.9,117.78
HMDB0049129,78.9,111.0
HMDB0049130,78.9,114.82
HMDB0049131,78.9,113.79
HMDB0049132,78.9,118.01
HMDB0049133,78.9,116.46
HMDB0049134,61.83,116.33
HMDB0049137,78.9,122.77
HMDB0049138,78.9,120.79
HMDB0049139,78.9,127.35
HMDB0049140,78.9,131.47
HMDB0049142,78.9,116.91
HMDB0049143,78.9,121.74
HMDB0049144,78.9,120.21
HMDB0049145,78.9,119.43
HMDB0049146,78.9,125.9
HMDB0049147,78.9,124.25
HMDB0049148,78.9,122.08
HMDB0049149,78.9,116.96
HMDB0049150,78.9,115.35
HMDB0049151,78.9,119.21
HMDB0049152,78.9,118.18
HMDB0049153,78.9,122.29
HMDB0049154,78.9,120.74
HMDB0049155,61.83,120.68
HMDB0049156,78.9,123.11
HMDB0049157,78.9,123.39
HMDB0049158,78.9,127.08
HMDB0049159,78.9,125.12
HMDB0049160,78.9,131.65
HMDB0049161,78.9,135.62
HMDB0049162,78.9,121.89
HMDB0049163,78.9,121.24
HMDB0049164,78.9,126.04
HMDB0049165,78.9,124.6
HMDB0049166,78.9,123.76
HMDB0049167,78.9,130.21
HMDB0049168,78.9,128.58
HMDB0049169,78.9,126.34
HMDB0049170,78.9,121.31
HMDB0049171,78.9,119.72
HMDB0049172,78.9,123.61
HMDB0049173,78.9,122.53
HMDB0049174,78.9,126.69
HMDB0049175,78.9,125.05
HMDB0049176,61.83,124.99
