hmdb_primary,pka_strongest_acidic,pka_strongest_basic
HMDB0042917,NA,-6.6
HMDB0042918,NA,-6.6
HMDB0042919,NA,-6.6
HMDB0042920,NA,-6.6
HMDB0042921,NA,-6.6
HMDB0042922,NA,-6.6
HMDB0042923,NA,-6.6
HMDB0042924,NA,-6.6
HMDB0042925,NA,-6.6
HMDB0042926,NA,-6.6
HMDB0042927,NA,-6.6
HMDB0042928,NA,-6.6
HMDB0042929,NA,-6.6
HMDB0042930,NA,-4.1
HMDB0042931,NA,-4.2
HMDB0042932,NA,-4.2
HMDB0042933,NA,-4.2
HMDB0042934,NA,-4.2
HMDB0042935,NA,-4.2
HMDB0042936,NA,-4.2
HMDB0042937,NA,-4.2
HMDB0042938,NA,-4.2
HMDB0042939,NA,-4.2
HMDB0042940,NA,-4.2
HMDB0042941,NA,-4.2
HMDB0042942,NA,-4.2
HMDB0042943,NA,-4.2
HMDB0042944,NA,-4.2
HMDB0042945,NA,-4.2
HMDB0042946,NA,-4.2
HMDB0042947,NA,-4.2
HMDB0042948,NA,-4.2
HMDB0042949,NA,-4.2
HMDB0042950,NA,-4.2
HMDB0042951,NA,-4.2
HMDB0042952,NA,-4.2
HMDB0042953,NA,-4.2
HMDB0042954,NA,-4.2
HMDB0042955,NA,-4.2
HMDB0042956,NA,-4.2
HMDB0042957,NA,-4.2
HMDB0042958,NA,-4.2
HMDB0042959,NA,-4.2
HMDB0042960,NA,-6.6
HMDB0042961,NA,-6.6
HMDB0042962,NA,-6.6
HMDB0042963,NA,-6.6
HMDB0042964,NA,-6.6
HMDB0042965,NA,-6.6
HMDB0042966,NA,-6.6
HMDB0042967,NA,-6.6
HMDB0042968,NA,-6.6
HMDB0042969,NA,-6.6
HMDB0042970,NA,-6.6
HMDB0042971,NA,-6.6
HMDB0042972,NA,-6.6
HMDB0042973,NA,-6.6
HMDB0042974,NA,-6.6
HMDB0042975,NA,-6.6
HMDB0042976,NA,-6.6
HMDB0042977,NA,-6.6
HMDB0042978,NA,-6.6
HMDB0042979,NA,-6.6
HMDB0042980,NA,-6.6
HMDB0042981,NA,-6.6
HMDB0042982,NA,-6.6
HMDB0042983,NA,-6.6
HMDB0042984,NA,-6.6
HMDB0042985,NA,-6.6
HMDB0042986,NA,-6.6
HMDB0042987,NA,-6.6
HMDB0042988,NA,-4.1
HMDB0042989,NA,-6.6
HMDB0042990,NA,-6.6
HMDB0042991,NA,-6.6
HMDB0042992,NA,-6.6
HMDB0042993,NA,-6.6
HMDB0042994,NA,-6.6
HMDB0042995,NA,-6.6
HMDB0042996,NA,-6.6
HMDB0042997,NA,-6.6
HMDB0042998,NA,-6.6
HMDB0042999,NA,-6.6
HMDB0043000,NA,-6.6
HMDB0043001,NA,-6.6
HMDB0043002,NA,-6.6
HMDB0043003,NA,-6.6
HMDB0043004,NA,-6.6
HMDB0043005,NA,-6.6
HMDB0043006,NA,-6.6
HMDB0043007,NA,-6.6
HMDB0043008,NA,-6.6
HMDB0043009,NA,-6.6
HMDB0043010,NA,-6.6
HMDB0043011,NA,-6.6
HMDB0043012,NA,-6.6
HMDB0043013,NA,-6.6
HMDB0043014,NA,-6.6
HMDB0043015,NA,-6.6
HMDB0043016,NA,-6.6
HMDB0043017,NA,-4.1
HMDB0043018,NA,-6.6
HMDB0043019,NA,-6.6
HMDB0043020,NA,-6.6
HMDB0043021,NA,-6.6
HMDB0043022,NA,-6.6
HMDB0043023,NA,-6.6
HMDB0043024,NA,-6.6
HMDB0043025,NA,-6.6
HMDB0043026,NA,-6.6
HMDB0043027,NA,-6.6
HMDB0043028,NA,-6.6
HMDB0043029,NA,-6.6
HMDB0043030,NA,-6.6
HMDB0043031,NA,-6.6
HMDB0043032,NA,-6.6
HMDB0043033,NA,-6.6
HMDB0043034,NA,-6.6
HMDB0043035,NA,-6.6
HMDB0043037,NA,-6.6
HMDB0043038,NA,-6.6
HMDB0043039,NA,-6.6
HMDB0043040,NA,-6.6
HMDB0043041,NA,-6.6
HMDB0043042,NA,-6.6
HMDB0043043,NA,-6.6
HMDB0043044,NA,-6.6
HMDB0043045,NA,-6.6
HMDB0043046,NA,-4.1
HMDB0043047,NA,-6.6
HMDB0043048,NA,-6.6
HMDB0043049,NA,-6.6
HMDB0043050,NA,-6.6
HMDB0043051,NA,-6.6
HMDB0043052,NA,-6.6
HMDB0043053,NA,-6.6
HMDB0043054,NA,-6.6
HMDB0043055,NA,-6.6
HMDB0043056,NA,-6.6
HMDB0043057,NA,-6.6
HMDB0043058,NA,-6.6
HMDB0043059,NA,-6.6
HMDB0043060,NA,-6.6
HMDB0043062,NA,-6.6
HMDB0043063,NA,-6.6
HMDB0043064,NA,-6.6
HMDB0043065,NA,-6.6
HMDB0043066,NA,-6.6
HMDB0043067,NA,-6.6
HMDB0043068,NA,-6.6
HMDB0043070,NA,-6.6
HMDB0043071,NA,-6.6
HMDB0043072,NA,-6.6
HMDB0043073,NA,-6.6
HMDB0043074,NA,-6.6
HMDB0043075,NA,-4.1
HMDB0043076,NA,-6.6
HMDB0043077,NA,-6.6
HMDB0043078,NA,-6.6
HMDB0043079,NA,-6.6
HMDB0043080,NA,-6.6
HMDB0043081,NA,-6.6
HMDB0043083,NA,-6.6
HMDB0043084,NA,-6.6
HMDB0043085,NA,-6.6
HMDB0043086,NA,-6.6
HMDB0043087,NA,-6.6
HMDB0043088,NA,-6.6
HMDB0043089,NA,-6.6
HMDB0043090,NA,-6.6
HMDB0043091,NA,-6.6
HMDB0043092,NA,-6.6
HMDB0043093,NA,-6.6
HMDB0043094,NA,-6.6
HMDB0043095,NA,-6.6
HMDB0043096,NA,-6.6
HMDB0043097,NA,-6.6
HMDB0043098,NA,-6.6
HMDB0043099,NA,-6.6
HMDB0043100,NA,-6.6
HMDB0043101,NA,-6.6
HMDB0043102,NA,-6.6
HMDB0043103,NA,-6.6
HMDB0043104,NA,-4.1
HMDB0043105,NA,-6.6
HMDB0043106,NA,-6.6
HMDB0043107,NA,-6.6
HMDB0043108,NA,-6.6
HMDB0043109,NA,-6.6
HMDB0043110,NA,-6.6
HMDB0043111,NA,-6.6
HMDB0043112,NA,-6.6
HMDB0043113,NA,-6.6
HMDB0043114,NA,-6.6
HMDB0043115,NA,-6.6
HMDB0043116,NA,-6.6
HMDB0043117,NA,-6.6
HMDB0043118,NA,-6.6
HMDB0043119,NA,-6.6
HMDB0043120,NA,-6.6
HMDB0043121,NA,-6.6
HMDB0043122,NA,-6.6
HMDB0043123,NA,-6.6
HMDB0043124,NA,-6.6
HMDB0043125,NA,-6.6
HMDB0043126,NA,-6.6
HMDB0043127,NA,-6.6
HMDB0043128,NA,-6.6
HMDB0043129,NA,-6.6
HMDB0043130,NA,-6.6
HMDB0043131,NA,-6.6
HMDB0043132,NA,-6.6
HMDB0043133,NA,-4.1
HMDB0043134,NA,-6.6
HMDB0043135,NA,-6.6
HMDB0043136,NA,-6.6
HMDB0043137,NA,-6.6
HMDB0043138,NA,-6.6
HMDB0043139,NA,-6.6
HMDB0043140,NA,-6.6
HMDB0043141,NA,-6.6
HMDB0043142,NA,-6.6
HMDB0043143,NA,-6.6
HMDB0043144,NA,-6.6
HMDB0043145,NA,-6.6
HMDB0043146,NA,-6.6
HMDB0043147,NA,-6.6
HMDB0043148,NA,-6.6
HMDB0043149,NA,-6.6
HMDB0043150,NA,-6.6
HMDB0043151,NA,-6.6
HMDB0043152,NA,-6.6
HMDB0043153,NA,-6.6
HMDB0043154,NA,-6.6
HMDB0043155,NA,-6.6
HMDB0043156,NA,-6.6
HMDB0043157,NA,-6.6
HMDB0043158,NA,-6.6
HMDB0043159,NA,-6.6
HMDB0043160,NA,-6.6
HMDB0043161,NA,-6.6
HMDB0043162,NA,-4.1
HMDB0043163,NA,-6.6
HMDB0043164,NA,-6.6
HMDB0043165,NA,-6.6
HMDB0043166,NA,-6.6
HMDB0043167,NA,-6.6
HMDB0043168,NA,-6.6
HMDB0043169,NA,-6.6
HMDB0043170,NA,-6.6
HMDB0043171,NA,-6.6
HMDB0043172,NA,-6.6
HMDB0043173,NA,-6.6
HMDB0043174,NA,-6.6
HMDB0043175,NA,-6.6
HMDB0043176,NA,-6.6
HMDB0043177,NA,-6.6
HMDB0043178,NA,-6.6
HMDB0043179,NA,-6.6
HMDB0043180,NA,-6.6
HMDB0043181,NA,-6.6
HMDB0043182,NA,-6.6
HMDB0043183,NA,-6.6
HMDB0043184,NA,-6.6
HMDB0043185,NA,-6.6
HMDB0043186,NA,-6.6
HMDB0043187,NA,-6.6
HMDB0043188,NA,-6.6
HMDB0043189,NA,-6.6
HMDB0043190,NA,-6.6
HMDB0043191,NA,-4.1
HMDB0043192,NA,-6.6
HMDB0043193,NA,-6.6
HMDB0043194,NA,-6.6
HMDB0043195,NA,-6.6
HMDB0043196,NA,-6.6
HMDB0043197,NA,-6.6
HMDB0043198,NA,-6.6
HMDB0043199,NA,-6.6
HMDB0043200,NA,-6.6
HMDB0043201,NA,-6.6
HMDB0043202,NA,-6.6
HMDB0043203,NA,-6.6
HMDB0043204,NA,-6.6
HMDB0043205,NA,-6.6
HMDB0043206,NA,-6.6
HMDB0043207,NA,-6.6
HMDB0043208,NA,-6.6
HMDB0043209,NA,-6.6
HMDB0043210,NA,-6.6
HMDB0043211,NA,-6.6
HMDB0043212,NA,-6.6
HMDB0043213,NA,-6.6
HMDB0043214,NA,-6.6
HMDB0043215,NA,-6.6
HMDB0043216,NA,-6.6
HMDB0043217,NA,-6.6
HMDB0043218,NA,-6.6
HMDB0043219,NA,-6.6
HMDB0043220,NA,-4.1
HMDB0043221,NA,-6.6
HMDB0043222,NA,-6.6
HMDB0043223,NA,-6.6
HMDB0043224,NA,-6.6
HMDB0043225,NA,-6.6
HMDB0043226,NA,-6.6
HMDB0043227,NA,-6.6
HMDB0043228,NA,-6.6
HMDB0043229,NA,-6.6
HMDB0043230,NA,-6.6
HMDB0043231,NA,-6.6
HMDB0043232,NA,-6.6
HMDB0043233,NA,-6.6
HMDB0043234,NA,-6.6
HMDB0043235,NA,-6.6
HMDB0043236,NA,-6.6
HMDB0043237,NA,-6.6
HMDB0043238,NA,-6.6
HMDB0043239,NA,-6.6
HMDB0043240,NA,-6.6
HMDB0043241,NA,-6.6
HMDB0043242,NA,-6.6
HMDB0043243,NA,-6.6
HMDB0043244,NA,-6.6
HMDB0043245,NA,-6.6
HMDB0043246,NA,-6.6
HMDB0043247,NA,-6.6
HMDB0043248,NA,-6.6
HMDB0043249,NA,-4.1
HMDB0043250,NA,-6.6
HMDB0043252,NA,-6.6
HMDB0043253,NA,-6.6
HMDB0043254,NA,-6.6
HMDB0043255,NA,-6.6
HMDB0043256,NA,-6.6
HMDB0043258,NA,-6.6
HMDB0043260,NA,-6.6
HMDB0043261,NA,-6.6
HMDB0043262,NA,-6.6
HMDB0043263,NA,-6.6
HMDB0043265,NA,-6.6
HMDB0043266,NA,-6.6
HMDB0043267,NA,-6.6
HMDB0043268,NA,-6.6
HMDB0043269,NA,-6.6
HMDB0043270,NA,-6.6
HMDB0043271,NA,-6.6
HMDB0043273,NA,-6.6
HMDB0043274,NA,-6.6
HMDB0043275,NA,-6.6
HMDB0043276,NA,-6.6
HMDB0043277,NA,-6.6
HMDB0043278,NA,-4.1
HMDB0043279,NA,-6.6
HMDB0043280,NA,-6.6
HMDB0043281,NA,-6.6
HMDB0043282,NA,-6.6
HMDB0043283,NA,-6.6
HMDB0043284,NA,-6.6
HMDB0043285,NA,-6.6
HMDB0043286,NA,-6.6
HMDB0043287,NA,-6.6
HMDB0043288,NA,-6.6
HMDB0043289,NA,-6.6
HMDB0043290,NA,-6.6
HMDB0043291,NA,-6.6
HMDB0043292,NA,-6.6
HMDB0043293,NA,-6.6
HMDB0043294,NA,-6.6
HMDB0043295,NA,-6.6
HMDB0043296,NA,-6.6
HMDB0043297,NA,-6.6
HMDB0043298,NA,-6.6
HMDB0043299,NA,-6.6
HMDB0043300,NA,-6.6
HMDB0043301,NA,-6.6
HMDB0043302,NA,-6.6
HMDB0043303,NA,-6.6
HMDB0043304,NA,-6.6
HMDB0043305,NA,-6.6
HMDB0043306,NA,-6.6
HMDB0043307,NA,-4.1
HMDB0043308,NA,-6.6
HMDB0043309,NA,-6.6
HMDB0043310,NA,-6.6
HMDB0043311,NA,-6.6
HMDB0043312,NA,-6.6
HMDB0043313,NA,-6.6
HMDB0043314,NA,-6.6
HMDB0043315,NA,-6.6
HMDB0043316,NA,-6.6
HMDB0043317,NA,-6.6
HMDB0043318,NA,-6.6
HMDB0043319,NA,-6.6
HMDB0043320,NA,-6.6
HMDB0043321,NA,-6.6
HMDB0043322,NA,-6.6
HMDB0043323,NA,-6.6
HMDB0043324,NA,-6.6
HMDB0043325,NA,-6.6
HMDB0043326,NA,-6.6
HMDB0043327,NA,-6.6
HMDB0043328,NA,-6.6
HMDB0043329,NA,-6.6
HMDB0043330,NA,-6.6
HMDB0043331,NA,-6.6
HMDB0043332,NA,-6.6
HMDB0043333,NA,-6.6
HMDB0043334,NA,-6.6
HMDB0043335,NA,-6.6
HMDB0043336,NA,-4.1
HMDB0043337,NA,-6.6
HMDB0043338,NA,-6.6
HMDB0043339,NA,-6.6
HMDB0043340,NA,-6.6
HMDB0043341,NA,-6.6
HMDB0043342,NA,-6.6
HMDB0043343,NA,-6.6
HMDB0043344,NA,-6.6
HMDB0043345,NA,-6.6
HMDB0043346,NA,-6.6
HMDB0043347,NA,-6.6
HMDB0043348,NA,-6.6
HMDB0043349,NA,-6.6
HMDB0043350,NA,-6.6
HMDB0043351,NA,-6.6
HMDB0043352,NA,-6.6
HMDB0043353,NA,-6.6
HMDB0043354,NA,-6.6
HMDB0043355,NA,-6.6
HMDB0043356,NA,-6.6
HMDB0043357,NA,-6.6
HMDB0043358,NA,-6.6
HMDB0043359,NA,-6.6
HMDB0043360,NA,-6.6
HMDB0043361,NA,-6.6
HMDB0043362,NA,-6.6
HMDB0043363,NA,-6.6
HMDB0043364,NA,-6.6
HMDB0043365,NA,-4.1
HMDB0043366,NA,-6.6
HMDB0043367,NA,-6.6
HMDB0043368,NA,-6.6
HMDB0043369,NA,-6.6
HMDB0043370,NA,-6.6
HMDB0043371,NA,-6.6
HMDB0043372,NA,-6.6
HMDB0043373,NA,-6.6
HMDB0043374,NA,-6.6
HMDB0043375,NA,-6.6
HMDB0043376,NA,-6.6
HMDB0043377,NA,-6.6
HMDB0043378,NA,-6.6
HMDB0043379,NA,-6.6
HMDB0043380,NA,-6.6
HMDB0043381,NA,-6.6
HMDB0043382,NA,-6.6
HMDB0043383,NA,-6.6
HMDB0043384,NA,-6.6
HMDB0043385,NA,-6.6
HMDB0043386,NA,-6.6
HMDB0043387,NA,-6.6
HMDB0043388,NA,-6.6
HMDB0043389,NA,-6.6
HMDB0043390,NA,-6.6
HMDB0043391,NA,-6.6
HMDB0043392,NA,-6.6
HMDB0043393,NA,-6.6
HMDB0043394,NA,-4.1
HMDB0043395,NA,-6.6
HMDB0043397,NA,-6.6
HMDB0043398,NA,-6.6
HMDB0043399,NA,-6.6
HMDB0043400,NA,-6.6
HMDB0043401,NA,-6.6
HMDB0043402,NA,-6.6
HMDB0043403,NA,-6.6
HMDB0043404,NA,-6.6
HMDB0043405,NA,-6.6
HMDB0043406,NA,-6.6
HMDB0043407,NA,-6.6
HMDB0043408,NA,-6.6
HMDB0043410,NA,-6.6
HMDB0043411,NA,-6.6
HMDB0043412,NA,-6.6
HMDB0043413,NA,-6.6
HMDB0043414,NA,-6.6
HMDB0043415,NA,-6.6
HMDB0043416,NA,-6.6
HMDB0043417,NA,-6.6
HMDB0043418,NA,-6.6
HMDB0043419,NA,-6.6
HMDB0043420,NA,-6.6
HMDB0043421,NA,-6.6
HMDB0043422,NA,-6.6
HMDB0043423,NA,-4.1
HMDB0043424,NA,-6.6
HMDB0043425,NA,-6.6
HMDB0043426,NA,-6.6
HMDB0043427,NA,-6.6
HMDB0043428,NA,-6.6
HMDB0043429,NA,-6.6
HMDB0043430,NA,-6.6
HMDB0043431,NA,-6.6
HMDB0043432,NA,-6.6
HMDB0043433,NA,-6.6
HMDB0043434,NA,-6.6
HMDB0043435,NA,-6.6
HMDB0043436,NA,-6.6
HMDB0043437,NA,-6.6
HMDB0043438,NA,-6.6
HMDB0043439,NA,-6.6
HMDB0043440,NA,-6.6
HMDB0043441,NA,-6.6
HMDB0043442,NA,-6.6
HMDB0043443,NA,-6.6
HMDB0043444,NA,-6.6
HMDB0043445,NA,-6.6
HMDB0043446,NA,-6.6
HMDB0043447,NA,-6.6
HMDB0043448,NA,-6.6
HMDB0043449,NA,-6.6
HMDB0043450,NA,-6.6
HMDB0043451,NA,-6.6
HMDB0043452,NA,-4.1
HMDB0043453,NA,-6.6
HMDB0043454,NA,-6.6
HMDB0043455,NA,-6.6
HMDB0043456,NA,-6.6
HMDB0043457,NA,-6.6
HMDB0043458,NA,-6.6
HMDB0043459,NA,-6.6
HMDB0043460,NA,-6.6
HMDB0043461,NA,-6.6
HMDB0043462,NA,-6.6
HMDB0043463,NA,-6.6
HMDB0043464,NA,-6.6
HMDB0043465,NA,-6.6
HMDB0043466,NA,-6.6
HMDB0043467,NA,-6.6
HMDB0043468,NA,-6.6
HMDB0043469,NA,-6.6
HMDB0043470,NA,-6.6
HMDB0043471,NA,-6.6
HMDB0043472,NA,-6.6
HMDB0043473,NA,-6.6
HMDB0043474,NA,-6.6
HMDB0043475,NA,-6.6
HMDB0043476,NA,-6.6
HMDB0043477,NA,-6.6
HMDB0043478,NA,-6.6
HMDB0043479,NA,-6.6
HMDB0043480,NA,-6.6
HMDB0043481,NA,-4.1
HMDB0043482,NA,-6.6
HMDB0043483,NA,-6.6
HMDB0043484,NA,-6.6
HMDB0043485,NA,-6.6
HMDB0043486,NA,-6.6
HMDB0043487,NA,-6.6
HMDB0043488,NA,-6.6
HMDB0043489,NA,-6.6
HMDB0043490,NA,-6.6
HMDB0043491,NA,-6.6
HMDB0043492,NA,-6.6
HMDB0043493,NA,-6.6
HMDB0043494,NA,-6.6
HMDB0043495,NA,-6.6
HMDB0043496,NA,-6.6
HMDB0043497,NA,-6.6
HMDB0043498,NA,-6.6
HMDB0043499,NA,-6.6
HMDB0043500,NA,-6.6
HMDB0043501,NA,-6.6
HMDB0043502,NA,-6.6
HMDB0043503,NA,-6.6
HMDB0043504,NA,-6.6
HMDB0043505,NA,-6.6
HMDB0043506,NA,-6.6
HMDB0043507,NA,-6.6
HMDB0043508,NA,-6.6
HMDB0043509,NA,-6.6
HMDB0043510,NA,-4.1
HMDB0043511,NA,-6.6
HMDB0043512,NA,-6.6
HMDB0043513,NA,-6.6
HMDB0043514,NA,-6.6
HMDB0043515,NA,-6.6
HMDB0043516,NA,-6.6
HMDB0043517,NA,-6.6
HMDB0043518,NA,-6.6
HMDB0043519,NA,-6.6
HMDB0043520,NA,-6.6
HMDB0043521,NA,-6.6
HMDB0043522,NA,-6.6
HMDB0043523,NA,-6.6
HMDB0043524,NA,-6.6
HMDB0043525,NA,-6.6
HMDB0043526,NA,-6.6
HMDB0043527,NA,-6.6
HMDB0043528,NA,-6.6
HMDB0043529,NA,-6.6
HMDB0043530,NA,-6.6
HMDB0043531,NA,-6.6
HMDB0043532,NA,-6.6
HMDB0043533,NA,-6.6
HMDB0043534,NA,-6.6
HMDB0043535,NA,-6.6
HMDB0043536,NA,-6.6
HMDB0043537,NA,-6.6
HMDB0043538,NA,-6.6
HMDB0043539,NA,-4.1
HMDB0043540,NA,-6.6
HMDB0043541,NA,-6.6
HMDB0043542,NA,-6.6
HMDB0043543,NA,-6.6
HMDB0043544,NA,-6.6
HMDB0043545,NA,-6.6
HMDB0043546,NA,-6.6
HMDB0043547,NA,-6.6
HMDB0043548,NA,-6.6
HMDB0043549,NA,-6.6
HMDB0043550,NA,-6.6
HMDB0043551,NA,-6.6
HMDB0043552,NA,-6.6
HMDB0043553,NA,-6.6
HMDB0043554,NA,-6.6
HMDB0043555,NA,-6.6
HMDB0043556,NA,-6.6
HMDB0043557,NA,-6.6
HMDB0043558,NA,-6.6
HMDB0043559,NA,-6.6
HMDB0043560,NA,-6.6
HMDB0043561,NA,-6.6
HMDB0043562,NA,-6.6
HMDB0043563,NA,-6.6
HMDB0043564,NA,-6.6
HMDB0043565,NA,-6.6
HMDB0043566,NA,-6.6
HMDB0043567,NA,-6.6
HMDB0043568,NA,-4.1
HMDB0043569,NA,-6.6
HMDB0043570,NA,-6.6
HMDB0043571,NA,-6.6
HMDB0043572,NA,-6.6
HMDB0043573,NA,-6.6
HMDB0043574,NA,-6.6
HMDB0043575,NA,-6.6
HMDB0043576,NA,-6.6
HMDB0043577,NA,-6.6
HMDB0043578,NA,-6.6
HMDB0043579,NA,-6.6
HMDB0043580,NA,-6.6
HMDB0043581,NA,-6.6
HMDB0043582,NA,-6.6
HMDB0043583,NA,-6.6
HMDB0043584,NA,-6.6
HMDB0043585,NA,-6.6
HMDB0043586,NA,-6.6
HMDB0043587,NA,-6.6
HMDB0043588,NA,-6.6
HMDB0043589,NA,-6.6
HMDB0043590,NA,-6.6
HMDB0043591,NA,-6.6
HMDB0043592,NA,-6.6
HMDB0043593,NA,-6.6
HMDB0043594,NA,-6.6
HMDB0043595,NA,-6.6
HMDB0043596,NA,-6.6
HMDB0043597,NA,-4.1
HMDB0043598,NA,-6.6
HMDB0043599,NA,-6.6
HMDB0043600,NA,-6.6
HMDB0043601,NA,-6.6
HMDB0043602,NA,-6.6
HMDB0043603,NA,-6.6
HMDB0043604,NA,-6.6
HMDB0043605,NA,-6.6
HMDB0043606,NA,-6.6
HMDB0043607,NA,-6.6
HMDB0043608,NA,-6.6
HMDB0043609,NA,-6.6
HMDB0043610,NA,-6.6
HMDB0043611,NA,-6.6
HMDB0043612,NA,-6.6
HMDB0043613,NA,-6.6
HMDB0043614,NA,-6.6
HMDB0043615,NA,-6.6
HMDB0043616,NA,-6.6
HMDB0043617,NA,-6.6
HMDB0043618,NA,-6.6
HMDB0043619,NA,-6.6
HMDB0043620,NA,-6.6
HMDB0043621,NA,-6.6
HMDB0043622,NA,-6.6
HMDB0043623,NA,-6.6
HMDB0043624,NA,-6.6
HMDB0043625,NA,-6.6
HMDB0043626,NA,-4.1
HMDB0043627,NA,-6.6
HMDB0043628,NA,-6.6
HMDB0043629,NA,-6.6
HMDB0043630,NA,-6.6
HMDB0043631,NA,-6.6
HMDB0043632,NA,-6.6
HMDB0043633,NA,-6.6
HMDB0043634,NA,-6.6
HMDB0043635,NA,-6.6
HMDB0043636,NA,-6.6
HMDB0043637,NA,-6.6
HMDB0043638,NA,-6.6
HMDB0043639,NA,-6.6
HMDB0043640,NA,-6.6
HMDB0043641,NA,-6.6
HMDB0043642,NA,-6.6
HMDB0043643,NA,-6.6
HMDB0043644,NA,-6.6
HMDB0043645,NA,-6.6
HMDB0043646,NA,-6.6
HMDB0043647,NA,-6.6
HMDB0043648,NA,-6.6
HMDB0043649,NA,-6.6
HMDB0043650,NA,-6.6
HMDB0043651,NA,-6.6
HMDB0043652,NA,-6.6
HMDB0043653,NA,-6.6
HMDB0043654,NA,-6.6
HMDB0043655,NA,-4.1
HMDB0043656,NA,-6.6
HMDB0043657,NA,-6.6
HMDB0043658,NA,-6.6
HMDB0043659,NA,-6.6
HMDB0043660,NA,-6.6
HMDB0043661,NA,-6.6
HMDB0043662,NA,-6.6
HMDB0043663,NA,-6.6
HMDB0043664,NA,-6.6
HMDB0043665,NA,-6.6
HMDB0043666,NA,-6.6
HMDB0043667,NA,-6.6
HMDB0043668,NA,-6.6
HMDB0043669,NA,-6.6
HMDB0043670,NA,-6.6
HMDB0043671,NA,-6.6
HMDB0043672,NA,-6.6
HMDB0043673,NA,-6.6
HMDB0043674,NA,-6.6
HMDB0043675,NA,-6.6
HMDB0043676,NA,-6.6
HMDB0043677,NA,-6.6
HMDB0043678,NA,-6.6
HMDB0043679,NA,-6.6
HMDB0043680,NA,-6.6
HMDB0043681,NA,-6.6
HMDB0043682,NA,-6.6
HMDB0043683,NA,-6.6
HMDB0043684,NA,-4.1
HMDB0043685,NA,-6.6
HMDB0043686,NA,-6.6
HMDB0043687,NA,-6.6
HMDB0043688,NA,-6.6
HMDB0043689,NA,-6.6
HMDB0043690,NA,-6.6
HMDB0043691,NA,-6.6
HMDB0043692,NA,-6.6
HMDB0043693,NA,-6.6
HMDB0043694,NA,-6.6
HMDB0043695,NA,-6.6
HMDB0043696,NA,-6.6
HMDB0043697,NA,-6.6
HMDB0043698,NA,-6.6
HMDB0043699,NA,-6.6
HMDB0043700,NA,-6.6
HMDB0043701,NA,-6.6
HMDB0043702,NA,-6.6
HMDB0043703,NA,-6.6
HMDB0043704,NA,-6.6
HMDB0043705,NA,-6.6
HMDB0043706,NA,-6.6
HMDB0043707,NA,-6.6
HMDB0043708,NA,-6.6
HMDB0043709,NA,-6.6
HMDB0043710,NA,-6.6
HMDB0043711,NA,-6.6
HMDB0043712,NA,-6.6
HMDB0043713,NA,-4.1
HMDB0043714,NA,-6.6
HMDB0043715,NA,-6.6
HMDB0043716,NA,-6.6
HMDB0043717,NA,-6.6
HMDB0043718,NA,-6.6
HMDB0043719,NA,-6.6
HMDB0043720,NA,-6.6
HMDB0043721,NA,-6.6
HMDB0043722,NA,-6.6
HMDB0043723,NA,-6.6
HMDB0043724,NA,-6.6
HMDB0043725,NA,-6.6
HMDB0043726,NA,-6.6
HMDB0043727,NA,-6.6
HMDB0043728,NA,-6.6
HMDB0043729,NA,-6.6
HMDB0043730,NA,-6.6
HMDB0043731,NA,-6.6
HMDB0043732,NA,-6.6
HMDB0043733,NA,-6.6
HMDB0043734,NA,-6.6
HMDB0043735,NA,-6.6
HMDB0043736,NA,-6.6
HMDB0043737,NA,-6.6
HMDB0043738,NA,-6.6
HMDB0043739,NA,-6.6
HMDB0043740,NA,-6.6
HMDB0043741,NA,-6.6
HMDB0043742,NA,-4.1
HMDB0043743,NA,-6.6
HMDB0043744,NA,-6.6
HMDB0043745,NA,-6.6
HMDB0043746,NA,-6.6
HMDB0043747,NA,-6.6
HMDB0043748,NA,-6.6
HMDB0043749,NA,-6.6
HMDB0043750,NA,-6.6
HMDB0043751,NA,-6.6
HMDB0043752,NA,-6.6
HMDB0043753,NA,-6.6
HMDB0043754,NA,-6.6
HMDB0043755,NA,-6.6
HMDB0043756,NA,-6.6
HMDB0043757,NA,-6.6
HMDB0043758,NA,-6.6
HMDB0043759,NA,-6.6
HMDB0043760,NA,-6.6
HMDB0043761,NA,-6.6
HMDB0043762,NA,-6.6
HMDB0043763,NA,-6.6
HMDB0043764,NA,-6.6
HMDB0043765,NA,-6.6
HMDB0043766,NA,-6.6
HMDB0043767,NA,-6.6
HMDB0043768,NA,-6.6
HMDB0043769,NA,-6.6
HMDB0043770,NA,-6.6
HMDB0043771,NA,-4.1
HMDB0043772,NA,-6.6
HMDB0043773,NA,-6.6
HMDB0043774,NA,-6.6
HMDB0043775,NA,-6.6
HMDB0043776,NA,-6.6
HMDB0043777,NA,-6.6
HMDB0043778,NA,-6.6
HMDB0043779,NA,-6.6
HMDB0043780,NA,-6.6
HMDB0043781,NA,-6.6
HMDB0043782,NA,-6.6
HMDB0043783,NA,-6.6
HMDB0043784,NA,-6.6
HMDB0043785,NA,-6.6
HMDB0043786,NA,-6.6
HMDB0043787,NA,-6.6
HMDB0043788,NA,-6.6
HMDB0043789,NA,-6.6
HMDB0043790,NA,-6.6
HMDB0043791,NA,-6.6
HMDB0043792,NA,-6.6
HMDB0043793,NA,-6.6
HMDB0043794,NA,-6.6
HMDB0043795,NA,-6.6
HMDB0043796,NA,-6.6
HMDB0043797,NA,-6.6
HMDB0043798,NA,-6.6
HMDB0043799,NA,-6.6
HMDB0043800,NA,-4.1
