hmdb_primary,pka_strongest_acidic,pka_strongest_basic
HMDB0000289,7.25,-6.5
HMDB0000290,1.74,-3.5
HMDB0000291,3.11,-4.1
HMDB0000292,7.95,-0.7
HMDB0000293,0.96,0.016
HMDB0000294,15.73,-2.4
HMDB0000295,1.77,-3.7
HMDB0000296,9.7,-3.0
HMDB0000299,11.33,0.078
HMDB0000300,8.8,-5.5
HMDB0000301,3.85,6.13
HMDB0000302,1.73,-3.6
HMDB0000303,17.17,9.73
HMDB0000304,1.74,-3.5
HMDB0000305,16.44,-2.2
HMDB0000306,10.41,9.66
HMDB0000307,4.48,-0.19
HMDB0000308,4.83,-1.4
HMDB0000309,8.93,-1.2
HMDB0000310,10.28,-7.0
HMDB0000311,4.48,-0.4
HMDB0000312,4.48,-0.16
HMDB0000313,10.33,-3.5
HMDB0000314,12.58,-1.4
HMDB0000315,14.75,-1.4
HMDB0000316,4.48,-0.19
HMDB0000317,4.25,-3.9
HMDB0000318,9.21,-3.0
HMDB0000319,13.8,-2.8
HMDB0000320,4.6,-2.8
HMDB0000321,3.44,-3.8
HMDB0000322,12.97,-1.4
HMDB0000323,14.55,8.44
HMDB0000324,8.93,-1.2
HMDB0000325,3.94,-2.8
HMDB0000326,4.65,-0.4
HMDB0000328,4.56,-1.4
HMDB0000329,4.66,NA
HMDB0000330,4.65,-0.4
HMDB0000331,3.77,-0.04
HMDB0000332,12.42,-2.9
HMDB0000333,3.74,-4.9
HMDB0000335,10.33,-3.5
HMDB0000336,4.37,-2.7
HMDB0000337,4.09,-2.9
HMDB0000338,9.67,-0.88
HMDB0000339,4.17,-1.6
HMDB0000340,4.48,-0.093
HMDB0000341,4.15,NA
HMDB0000343,9.67,-6.3
HMDB0000344,19.38,-0.88
HMDB0000345,3.7,-2.8
HMDB0000346,3.57,-3.0
HMDB0000347,10.33,-3.2
HMDB0000348,4.65,-0.35
HMDB0000349,11.66,-3.6
HMDB0000350,4.45,-2.8
HMDB0000351,4.51,-2.8
HMDB0000352,13.38,-1.4
HMDB0000353,8.75,-2.9
HMDB0000354,4.51,-2.8
HMDB0000355,3.68,-3.0
HMDB0000356,10.33,-3.2
HMDB0000359,4.83,-0.54
HMDB0000360,3.67,-2.4
HMDB0000361,4.6,-0.54
HMDB0000362,0.81,-3.1
HMDB0000363,12.7,-1.4
HMDB0000364,4.6,-2.7
HMDB0000365,18.3,-1.4
HMDB0000366,4.03,-3.0
HMDB0000367,4.48,-0.4
HMDB0000368,3.44,-3.8
HMDB0000369,18.3,-0.76
HMDB0000370,1.4,9.83
HMDB0000371,4.65,-0.4
HMDB0000372,10.33,-5.4
HMDB0000374,12.7,-3.8
HMDB0000375,4.21,-6.0
HMDB0000376,4.48,-0.16
HMDB0000377,4.48,-0.4
HMDB0000378,4.34,-7.1
HMDB0000379,3.18,-4.3
HMDB0000380,10.32,-0.88
HMDB0000381,4.79,-1.4
HMDB0000383,18.3,-0.76
HMDB0000384,4.6,-0.54
HMDB0000385,4.67,-0.35
HMDB0000386,-1.4,-5.5
HMDB0000387,4.67,-2.8
HMDB0000388,8.93,-1.2
HMDB0000389,7.93,3.16
HMDB0000390,4.48,-0.16
HMDB0000391,4.44,-0.33
HMDB0000392,5.25,NA
HMDB0000393,3.77,NA
HMDB0000394,4.49,-2.8
HMDB0000395,4.48,-0.16
HMDB0000396,4.51,-2.7
HMDB0000397,2.56,-6.3
HMDB0000398,3.47,-7.5
HMDB0000399,4.48,-0.4
HMDB0000400,4.39,-0.51
HMDB0000401,8.78,0.7
HMDB0000402,3.63,-4.1
HMDB0000403,10.78,2.02
HMDB0000404,4.6,-0.61
HMDB0000405,10.29,-0.88
HMDB0000406,10.33,-3.7
HMDB0000407,4.14,-3.9
HMDB0000408,4.32,-7.6
HMDB0000409,4.71,-1.6
HMDB0000410,4.51,-2.8
HMDB0000411,4.65,-0.35
HMDB0000412,18.3,-0.76
HMDB0000413,4.49,-2.8
HMDB0000414,4.6,-0.61
HMDB0000415,4.6,-2.7
HMDB0000416,-1.4,-3.8
HMDB0000417,5.04,NA
HMDB0000418,12.51,-2.8
HMDB0000419,4.48,-0.16
HMDB0000421,3.8,-3.3
HMDB0000422,3.89,NA
HMDB0000423,3.84,-6.3
HMDB0000424,4.16,-3.8
HMDB0000425,2.84,-3.0
HMDB0000426,3.35,-4.0
HMDB0000427,4.48,-0.16
HMDB0000428,3.52,-2.9
HMDB0000429,10.33,-0.88
HMDB0000430,13.85,-1.3
HMDB0000431,10.33,-3.2
HMDB0000432,4.48,-0.16
HMDB0000433,4.48,-0.19
HMDB0000434,3.86,-4.6
HMDB0000437,4.48,-0.4
HMDB0000438,4.65,-0.35
HMDB0000439,3.34,-3.0
HMDB0000440,4.0,-6.0
HMDB0000442,4.41,-2.6
HMDB0000444,4.31,-3.1
HMDB0000445,11.47,-3.6
HMDB0000446,3.89,10.21
HMDB0000447,4.48,-0.18
HMDB0000448,3.92,NA
HMDB0000449,13.86,-0.25
HMDB0000450,2.45,9.75
HMDB0000451,4.65,-1.5
HMDB0000452,2.62,9.53
HMDB0000453,NA,-7.0
HMDB0000455,1.79,9.66
HMDB0000458,18.3,-0.76
HMDB0000459,4.09,-0.54
HMDB0000460,4.6,-0.58
HMDB0000462,7.95,-3.4
HMDB0000464,NA,NA
HMDB0000466,17.48,NA
HMDB0000467,4.56,-1.3
HMDB0000468,8.18,-1.4
HMDB0000469,8.68,-2.8
HMDB0000472,2.15,9.18
HMDB0000473,10.19,3.35
HMDB0000474,19.68,-7.3
HMDB0000476,4.81,-4.8
HMDB0000477,4.96,NA
HMDB0000478,4.65,-0.35
HMDB0000479,1.96,9.43
HMDB0000481,7.36,-1.5
HMDB0000482,5.19,NA
HMDB0000483,14.93,-0.16
HMDB0000484,4.16,-4.9
HMDB0000486,4.87,-1.6
HMDB0000488,4.03,-2.8
HMDB0000489,1.58,8.43
HMDB0000490,18.3,-1.4
HMDB0000491,3.52,-9.7
HMDB0000492,-7.0,NA
HMDB0000493,18.3,-0.76
HMDB0000494,18.3,-1.4
HMDB0000495,18.3,-0.76
HMDB0000496,3.11,-3.0
HMDB0000497,11.59,-3.0
HMDB0000498,3.63,-3.1
HMDB0000499,4.89,NA
HMDB0000500,4.38,-6.1
HMDB0000501,17.39,-1.4
HMDB0000502,4.48,-0.18
HMDB0000503,4.6,-0.58
HMDB0000505,4.48,-0.16
HMDB0000506,4.6,-2.7
HMDB0000508,12.76,-3.0
HMDB0000509,5.02,NA
HMDB0000510,2.01,9.53
HMDB0000511,4.95,NA
HMDB0000512,4.02,-2.0
HMDB0000513,14.93,-0.16
HMDB0000514,4.6,-0.54
HMDB0000517,2.41,12.41
HMDB0000518,4.6,-0.54
HMDB0000520,18.3,-0.13
HMDB0000521,4.89,NA
HMDB0000522,3.85,NA
HMDB0000523,13.62,-1.4
HMDB0000524,18.3,-0.13
HMDB0000525,4.71,-1.6
HMDB0000526,12.58,-1.4
HMDB0000527,4.65,-0.4
HMDB0000528,3.28,-8.2
HMDB0000529,4.89,NA
HMDB0000530,8.88,-3.2
HMDB0000531,4.56,-2.8
HMDB0000532,3.77,-2.0
HMDB0000534,18.3,-1.4
HMDB0000535,5.09,NA
HMDB0000536,1.22,3.81
HMDB0000538,0.9,4.01
HMDB0000539,3.39,-3.0
HMDB0000540,13.62,-1.4
HMDB0000541,19.52,-6.8
HMDB0000542,8.89,5.11
HMDB0000543,4.81,NA
HMDB0000544,8.97,-2.8
HMDB0000545,-2.0,NA
HMDB0000546,18.3,-1.4
HMDB0000547,NA,NA
HMDB0000548,NA,-6.6
HMDB0000549,NA,-7.0
HMDB0000550,13.62,-1.4
HMDB0000551,18.3,-0.76
HMDB0000552,3.42,-7.1
HMDB0000553,5.04,NA
HMDB0000554,18.3,-0.76
HMDB0000555,4.04,NA
HMDB0000556,13.85,-0.16
HMDB0000557,2.79,9.59
HMDB0000558,14.93,-0.16
HMDB0000559,-2.2,-3.0
HMDB0000560,4.82,NA
HMDB0000561,NA,NA
HMDB0000562,9.21,4.96
HMDB0000563,4.02,-3.8
HMDB0000564,1.86,-6.7
HMDB0000565,3.39,-3.0
HMDB0000567,4.01,NA
HMDB0000568,12.76,-3.0
HMDB0000569,0.83,9.9
HMDB0000570,3.52,5.16
HMDB0000572,1.04,10.12
HMDB0000573,4.99,NA
HMDB0000574,2.35,9.05
HMDB0000575,1.8,9.8
HMDB0000576,3.92,-7.1
HMDB0000577,18.3,-1.4
HMDB0000579,3.78,5.13
HMDB0000580,NA,NA
HMDB0000582,0.33,9.23
HMDB0000583,16.88,-1.4
HMDB0000585,1.76,9.8
HMDB0000586,3.09,NA
HMDB0000588,3.09,NA
HMDB0000590,3.47,-1.9
HMDB0000592,-1.9,8.23
HMDB0000593,1.86,-6.7
HMDB0000594,1.82,9.31
HMDB0000595,6.05,NA
HMDB0000596,12.21,9.12
HMDB0000598,NA,NA
HMDB0000599,3.09,NA
HMDB0000600,3.91,10.2
HMDB0000601,4.62,-0.16
HMDB0000603,4.65,NA
HMDB0000606,3.28,-3.8
HMDB0000607,1.82,13.57
HMDB0000608,3.09,NA
HMDB0000609,1.65,9.06
HMDB0000610,NA,-7.0
HMDB0000611,3.89,5.14
HMDB0000613,3.4,-3.0
