hmdb_primary,kegg_id
HMDB0000629,C00401
HMDB0000630,C00380
HMDB0000631,C05464 
HMDB0000632,C00426
HMDB0000633,NA
HMDB0000634,C02226
HMDB0000635,NA
HMDB0000637,C05466
HMDB0000638,C02679
HMDB0000639,C00879
HMDB0000640,NA
HMDB0000641,C00064
HMDB0000642,NA
HMDB0000643,C05769
HMDB0000644,NA
HMDB0000645,C00446
HMDB0000646,C02479
HMDB0000648,C01747
HMDB0000649,C19654
HMDB0000650,C02261
HMDB0000651,NA
HMDB0000652,C00634
HMDB0000653,C18043
HMDB0000656,NA
HMDB0000657,C00070
HMDB0000658,NA
HMDB0000659,NA
HMDB0000660,C02336
HMDB0000661,C00489
HMDB0000662,C00742
HMDB0000663,C00818
HMDB0000664,NA
HMDB0000665,NA
HMDB0000666,C17714
HMDB0000667,NA
HMDB0000668,NA
HMDB0000669,C05852
HMDB0000670,C01924
HMDB0000671,C02043
HMDB0000672,C19615
HMDB0000673,C01595
HMDB0000674,C00416
HMDB0000675,C01382
HMDB0000676,C01817
HMDB0000678,NA
HMDB0000679,C02427
HMDB0000682,NA
HMDB0000683,NA
HMDB0000684,C00328
HMDB0000686,C17662
HMDB0000687,C00123
HMDB0000688,NA
HMDB0000689,NA
HMDB0000691,C04025
HMDB0000692,C14818
HMDB0000693,C00925
HMDB0000694,C03196
HMDB0000695,C00233
HMDB0000696,C00073
HMDB0000697,NA
HMDB0000698,C15557
HMDB0000699,C02918
HMDB0000700,C01013
HMDB0000701,NA
HMDB0000703,C01984
HMDB0000704,C03975
HMDB0000706,NA
HMDB0000707,C01179
HMDB0000708,NA
HMDB0000709,NA
HMDB0000710,C01991
HMDB0000711,NA
HMDB0000712,NA
HMDB0000713,NA
HMDB0000714,C01586
HMDB0000715,C01717
HMDB0000716,C00408
HMDB0000717,C17658
HMDB0000718,C08262
HMDB0000719,C00263
HMDB0000720,NA
HMDB0000721,NA
HMDB0000722,C02592
HMDB0000725,C01157
HMDB0000726,NA
HMDB0000727,NA
HMDB0000728,NA
HMDB0000729,NA
HMDB0000730,NA
HMDB0000731,C05824
HMDB0000732,C02794
HMDB0000733,NA
HMDB0000734,NA
HMDB0000735,C05596
HMDB0000736,NA
HMDB0000737,NA
HMDB0000738,C00463
HMDB0000739,NA
HMDB0000740,C07064
HMDB0000742,C00155
HMDB0000743,NA
HMDB0000745,C00884
HMDB0000746,NA
HMDB0000747,NA
HMDB0000748,C05607
HMDB0000749,C01732
HMDB0000750,NA
HMDB0000751,C00312
HMDB0000752,NA
HMDB0000753,NA
HMDB0000754,NA
HMDB0000755,C03672
HMDB0000756,NA
HMDB0000757,C00182
HMDB0000759,C02155
HMDB0000760,NA
HMDB0000761,C03990
HMDB0000763,C05635
HMDB0000764,C05629
HMDB0000765,C00392
HMDB0000766,NA
HMDB0000767,C02067
HMDB0000768,NA
HMDB0000770,C01808
HMDB0000772,C16535
HMDB0000773,C19909
HMDB0000774,NA
HMDB0000779,C01479
HMDB0000780,NA
HMDB0000781,C16265
HMDB0000782,NA
HMDB0000783,NA
HMDB0000784,C08261
HMDB0000785,C04016
HMDB0000786,C07599
HMDB0000788,C01103
HMDB0000789,NA
HMDB0000791,C02838
HMDB0000792,C08277
HMDB0000793,NA
HMDB0000794,NA
HMDB0000795,NA
HMDB0000796,C04015
HMDB0000797,C04823
HMDB0000798,NA
HMDB0000801,C01607
HMDB0000802,C00715
HMDB0000803,C03878
HMDB0000806,C06424
HMDB0000807,C00597
HMDB0000808,NA
HMDB0000809,C01808
HMDB0000810,NA
HMDB0000811,C15515
HMDB0000812,C01042
HMDB0000814,C04132
HMDB0000815,NA
HMDB0000816,C00988
HMDB0000817,NA
HMDB0000819,C05589
HMDB0000820,C05979
HMDB0000821,C05598
HMDB0000822,C11527
HMDB0000824,C03017
HMDB0000825,NA
HMDB0000826,C16537
HMDB0000827,C01530
HMDB0000828,C00438
HMDB0000830,C06469
HMDB0000832,NA
HMDB0000833,C03410
HMDB0000839,C09541
HMDB0000840,C07588
HMDB0000841,NA
HMDB0000842,C06325
HMDB0000843,NA
HMDB0000845,C05926
HMDB0000847,C01601
HMDB0000848,NA
HMDB0000849,C00507
HMDB0000851,NA
HMDB0000852,C01753
HMDB0000853,C05021
HMDB0000854,C00439
HMDB0000855,C03150
HMDB0000856,C15532
HMDB0000857,C02656
HMDB0000858,NA
HMDB0000859,NA
HMDB0000860,NA
HMDB0000863,C01845
HMDB0000865,NA
HMDB0000866,C01657
HMDB0000867,C01685
HMDB0000868,C00231
HMDB0000869,NA
HMDB0000870,C00388
HMDB0000871,C03238
HMDB0000872,NA
HMDB0000873,C06730
HMDB0000874,NA
HMDB0000875,C01004
HMDB0000876,C05443
HMDB0000877,NA
HMDB0000878,C01694
HMDB0000879,C13713
HMDB0000881,C02470
HMDB0000883,C00183
HMDB0000884,NA
HMDB0000885,C11251
HMDB0000887,C06767
HMDB0000888,NA
HMDB0000889,NA
HMDB0000890,NA
HMDB0000892,C00803
HMDB0000893,C08278
HMDB0000894,NA
HMDB0000895,C01996
HMDB0000896,C05463
HMDB0000897,C02242
HMDB0000898,C05127
HMDB0000899,C00674
HMDB0000900,C05441
HMDB0000901,NA
HMDB0000902,C00003
HMDB0000903,NA
HMDB0000904,C00327
HMDB0000905,C00360
HMDB0000906,C00565
HMDB0000907,NA
HMDB0000908,NA
HMDB0000909,NA
HMDB0000910,C17076
HMDB0000912,NA
HMDB0000913,NA
HMDB0000916,C02469
HMDB0000917,C17644
HMDB0000918,C14641
HMDB0000920,C03747
HMDB0000921,C00599
HMDB0000922,NA
HMDB0000925,C01104
HMDB0000926,C00747
HMDB0000927,NA
HMDB0000929,C00078
HMDB0000930,C10438
HMDB0000932,NA
HMDB0000933,C16308
HMDB0000934,C04426
HMDB0000935,C00167
HMDB0000936,C05767
HMDB0000937,C05442
HMDB0000939,C00021
HMDB0000940,NA
HMDB0000941,C05416
HMDB0000942,NA
HMDB0000943,C01620
HMDB0000944,C08281
HMDB0000946,C07880
HMDB0000947,C17715
HMDB0000949,C05465
HMDB0000950,NA
HMDB0000951,C05465
HMDB0000953,NA
HMDB0000954,C01494
HMDB0000955,C10470
HMDB0000956,C00898
HMDB0000957,C15571
HMDB0000958,C02341
HMDB0000959,NA
HMDB0000960,C00361
HMDB0000961,C00448
HMDB0000962,C00248
HMDB0000963,C04188
HMDB0000965,C00519
HMDB0000968,C01220
HMDB0000969,NA
HMDB0000972,C00234
HMDB0000975,C01083
HMDB0000977,C05313
HMDB0000978,C01252
HMDB0000980,C04895
HMDB0000981,NA
HMDB0000982,NA
HMDB0000985,C00579
HMDB0000988,C01137
HMDB0000990,C00084
HMDB0000991,NA
HMDB0000992,C19569
HMDB0000994,C03862
HMDB0000995,C03207
HMDB0000996,C00606
HMDB0000998,C00458
HMDB0000999,NA
HMDB0001000,C01346
HMDB0001003,C00224
HMDB0001004,NA
HMDB0001005,C00603
HMDB0001007,NA
HMDB0001008,C00500
HMDB0001009,NA
HMDB0001010,NA
HMDB0001011,C03460
HMDB0001013,C00190
HMDB0001014,C03680
HMDB0001015,C03145
HMDB0001016,C03492
HMDB0001018,C00190
HMDB0001020,C02846
HMDB0001021,C04348
HMDB0001022,C00091
HMDB0001023,C11455
HMDB0001024,C03232
HMDB0001028,NA
HMDB0001030,C05403
HMDB0001031,C00673
HMDB0001032,C04555
HMDB0001035,C02135
HMDB0001036,C15848
HMDB0001038,C15849
HMDB0001039,C01328
HMDB0001041,C15980
HMDB0001043,C00219
HMDB0001044,C00362
HMDB0001045,NA
HMDB0001046,NA
HMDB0001047,C00665
HMDB0001049,C00669
HMDB0001050,C19697
HMDB0001051,C02154
HMDB0001052,C06000
HMDB0001054,C01246
HMDB0001056,C00415
HMDB0001057,C03231
HMDB0001058,C05378
HMDB0001059,C01272
HMDB0001060,NA
HMDB0001061,NA
HMDB0001062,C00357
HMDB0001063,C05200
HMDB0001064,C02050
HMDB0001065,C02735
HMDB0001066,C03451
HMDB0001067,C12270
HMDB0001068,C05382
HMDB0001069,NA
HMDB0001070,C01944
HMDB0001072,C11378
HMDB0001076,C01094
HMDB0001078,C00275
HMDB0001080,C02903
HMDB0001081,C04886
HMDB0001083,NA
HMDB0001084,C04092
HMDB0001085,C02165
HMDB0001086,C01051
HMDB0001087,C03089
HMDB0001088,C00136
HMDB0001090,C01143
HMDB0001091,C07344
HMDB0001093,NA
HMDB0001094,C04146
HMDB0001095,C00325
HMDB0001096,C00169
HMDB0001097,C01079
HMDB0001101,C02519
HMDB0001104,C01239
HMDB0001106,C05665
HMDB0001107,NA
HMDB0001109,NA
HMDB0001112,C00118
HMDB0001113,C02939
HMDB0001114,C00412
HMDB0001117,C04352
HMDB0001119,C19579
HMDB0001120,C00235
HMDB0001121,C04257
HMDB0001122,C11489
HMDB0001123,C00108
HMDB0001124,C00689
HMDB0001125,C04299
HMDB0001126,C06524
HMDB0001127,C01236
HMDB0001128,C03090
HMDB0001129,C00645
HMDB0001131,C05840
HMDB0001132,C01185
HMDB0001134,C00053
HMDB0001137,C01024
HMDB0001138,C00624
HMDB0001139,C00639
HMDB0001140,C01545
HMDB0001142,C01847
HMDB0001143,C01243
HMDB0001147,C00872
HMDB0001149,C00430
HMDB0001151,C01487
HMDB0001155,C06197
HMDB0001157,C03344
HMDB0001160,NA
HMDB0001161,C01181
HMDB0001162,C15672
HMDB0001163,C00096
HMDB0001164,C04221
HMDB0001165,C00573
HMDB0001166,C03561
HMDB0001167,C00546
HMDB0001168,NA
HMDB0001169,C02372
HMDB0001170,C01189
HMDB0001172,C00349
HMDB0001173,C00170
HMDB0001175,C03188
HMDB0001176,C00128
HMDB0001177,C01169
HMDB0001178,C00301
HMDB0001179,C00857
HMDB0001180,C05932
HMDB0001181,C15808
HMDB0001182,NA
HMDB0001183,C00756
HMDB0001184,NA
HMDB0001185,C00019
HMDB0001186,C02567
HMDB0001187,C04477
HMDB0001188,C01054
HMDB0001189,NA
HMDB0001190,C00637
HMDB0001191,C00460
HMDB0001192,NA
HMDB0001193,C05356
HMDB0001195,C03684
HMDB0001196,C04537
HMDB0001197,C01352
HMDB0001198,C02166
HMDB0001199,C03415
HMDB0001200,C02406
HMDB0001201,C00035
HMDB0001202,C00239
HMDB0001203,NA
HMDB0001204,NA
HMDB0001206,C00024
HMDB0001209,C00499
HMDB0001211,C01260
HMDB0001212,C05565
HMDB0001213,C11437
HMDB0001216,C05650
HMDB0001217,C05103
HMDB0001218,C05851
HMDB0001219,C02817
HMDB0001220,C00584
HMDB0001227,C00364
HMDB0001228,C03287
HMDB0001229,C00822
HMDB0001231,C05446
HMDB0001232,C00870
HMDB0001235,C03373
HMDB0001238,C00978
HMDB0001240,C20361
HMDB0001241,C02220
HMDB0001242,C01943
HMDB0001243,C00630
HMDB0001244,NA
HMDB0001245,C00705
HMDB0001247,C06264
HMDB0001248,C00016
HMDB0001250,C07565
HMDB0001251,C01724
HMDB0001252,C00576
HMDB0001253,C04185
HMDB0001254,C00352
HMDB0001256,C00750
HMDB0001257,C00315
HMDB0001259,C00232
HMDB0001260,NA
HMDB0001261,C03263
HMDB0001262,C01835
HMDB0001263,C04076
HMDB0001264,C05422
HMDB0001265,C02985
HMDB0001266,C08356
HMDB0001267,NA
HMDB0001268,C01061
HMDB0001269,C00683
HMDB0001270,C00236
HMDB0001271,C01168
HMDB0001272,NA
HMDB0001273,C00044
HMDB0001274,C00363
HMDB0001275,C00100
HMDB0001276,C00612
HMDB0001278,C03428
HMDB0001280,C03824
HMDB0001282,C20190
HMDB0001285,C05847
HMDB0001286,C05108
HMDB0001290,C02411
HMDB0001291,NA
HMDB0001292,C06257
HMDB0001294,C01159
HMDB0001295,C07343
HMDB0001296,C02052
HMDB0001297,NA
HMDB0001299,C04582
HMDB0001301,C04322
HMDB0001302,C00150
HMDB0001304,C00390
HMDB0001308,C04376
HMDB0001309,NA
HMDB0001310,C00133
HMDB0001311,C00256
HMDB0001312,NA
HMDB0001313,C03546
HMDB0001314,C00942
HMDB0001315,C06262
HMDB0001316,C00345
HMDB0001318,C02373
HMDB0001319,C00627
HMDB0001320,C04654
HMDB0001321,C00279
HMDB0001322,C00510
HMDB0001324,NA
HMDB0001325,C03793
HMDB0001327,C17061
HMDB0001328,C00842
HMDB0001329,NA
HMDB0001330,C04409
HMDB0001333,C19610
HMDB0001335,C01312
HMDB0001336,C01161
HMDB0001337,C00909
HMDB0001338,C00154
HMDB0001339,C00527
HMDB0001340,C01261
HMDB0001341,C00008
HMDB0001342,C00459
HMDB0001343,C01107
HMDB0001345,C01149
HMDB0001346,C01222
HMDB0001347,C00129
HMDB0001348,NA
HMDB0001349,C01529
HMDB0001351,C00672
HMDB0001352,C00168
HMDB0001353,C01216
HMDB0001354,C00445
HMDB0001355,C06604
HMDB0001356,C04405
HMDB0001358,C00376
HMDB0001359,C02060
HMDB0001361,C00237
HMDB0001362,C00282
HMDB0001364,C03483
HMDB0001365,NA
HMDB0001366,C15587
HMDB0001367,C04256
HMDB0001368,C00957
HMDB0001369,C04281
HMDB0001370,C00666
HMDB0001371,C00697
HMDB0001372,C00068
HMDB0001373,C00882
HMDB0001374,C01794
HMDB0001375,C00356
HMDB0001376,C04442
HMDB0001377,C00007
HMDB0001379,NA
HMDB0001380,NA
HMDB0001381,C00427
HMDB0001382,C07457
HMDB0001383,C01120
HMDB0001385,C05394
HMDB0001387,C03711
HMDB0001388,C06427
HMDB0001389,C01598
HMDB0001390,NA
HMDB0001391,C14830  
HMDB0001392,C00568
HMDB0001394,C00374
HMDB0001396,C00440
HMDB0001397,C00144
HMDB0001398,C15572
HMDB0001399,C11907
HMDB0001401,C00092
HMDB0001403,C00696
HMDB0001405,C05527
HMDB0001406,C00153
HMDB0001409,C00365
HMDB0001410,C05255
HMDB0001411,NA
HMDB0001412,C00921
HMDB0001413,C00307
HMDB0001414,C00134
HMDB0001416,C01134
HMDB0001417,NA
HMDB0001419,C13550
HMDB0001420,NA
HMDB0001421,NA
HMDB0001422,C01259
HMDB0001423,C00010
HMDB0001424,NA
HMDB0001425,C02538
HMDB0001426,C00067
HMDB0001427,NA
HMDB0001429,C00009
HMDB0001430,C01693
HMDB0001431,C00534
HMDB0001432,C00179
HMDB0001433,NA
HMDB0001434,NA
HMDB0001438,NA
HMDB0001439,C04734
HMDB0001440,C00286
HMDB0001441,C05649
HMDB0001442,C04741
HMDB0001443,NA
HMDB0001444,NA
HMDB0001445,C04500
HMDB0001448,C00059
HMDB0001449,C13712
HMDB0001451,C16241
HMDB0001452,C02198
HMDB0001453,C01755
HMDB0001454,NA
HMDB0001455,C15484
HMDB0001457,C05454
HMDB0001458,C01893
HMDB0001459,NA
HMDB0001460,C06607
HMDB0001466,C01183
HMDB0001469,C03543
HMDB0001470,C08279
HMDB0001471,C11825
HMDB0001472,NA
HMDB0001473,C00111
HMDB0001474,NA
HMDB0001475,NA
HMDB0001476,C00632
HMDB0001478,NA
HMDB0001480,C02934
HMDB0001481,C01075
HMDB0001483,C02314
HMDB0001484,C00332
HMDB0001485,C01387
HMDB0001487,C00004
HMDB0001488,C00253
HMDB0001489,C00620
HMDB0001490,C05594
HMDB0001491,C00018
HMDB0001492,C02483
HMDB0001493,C03069
HMDB0001494,C00227
HMDB0001495,C01449
HMDB0001496,C03594
HMDB0001497,NA
HMDB0001498,C01245
HMDB0001499,C03117
HMDB0001501,NA
HMDB0001504,C06605
HMDB0001505,C01407
HMDB0001507,NA
HMDB0001508,C00206
HMDB0001509,C04853
HMDB0001510,C06860
HMDB0001511,C02305
HMDB0001512,C03028
HMDB0001513,C00621
HMDB0001514,C00329
HMDB0001517,C04677
HMDB0001518,NA
HMDB0001520,C00061
HMDB0001521,C02593
HMDB0001522,C02294
HMDB0001525,C01589
HMDB0001526,C01136
HMDB0001527,C08276
HMDB0001530,C00644
HMDB0001532,C00131
HMDB0001533,C00143
HMDB0001534,C00664
HMDB0001536,C00488
HMDB0001537,NA
HMDB0001538,NA
HMDB0001539,C03626
HMDB0001541,NA
HMDB0001542,C00611
HMDB0001543,NA
HMDB0001544,NA
HMDB0001545,C00250
HMDB0001546,C00112
HMDB0001547,C02140
HMDB0001548,C03736
HMDB0001550,C01031
HMDB0001551,C00517
HMDB0001552,C00940
HMDB0001553,C01180
HMDB0001554,C00655
HMDB0001555,C00647
HMDB0001557,C01007
HMDB0001562,C03479
HMDB0001563,C04545
HMDB0001564,C00570
HMDB0001565,C00588
HMDB0001566,C02230
HMDB0001568,NA
HMDB0001569,C12978
