main_coarse_class,12I  HS Mannheim  MALDI-qTOF  DAN  negative,13J  Bruker  MALDI-qTOF  NEDC  negative,10G  PNNL  MALDI-FTICR  NEDC  negative,12E  HS Mannheim  MALDI-FTICR  DAN  negative,5GI  U Copenhagen  DESI-Orbitrap  none  negative,6F  EMBL  AP-MALDI-Orbitrap  NOR  negative,6J  EMBL  AP-MALDI-Orbitrap  9AA  negative,9E  NCSU  IR-MALDESI-Orbitrap  water  negative,1C  AstraZeneca  DESI-Orbitrap  none  negative,7A  EMBL  AP-MALDI-Orbitrap  DAN  negative,8D  JLU Giessen  AP-MALDI-Orbitrap  9AA  negative,15C  EMBL  AP-MALDI-Orbitrap  pNA  negative,1H  UT Austin  DESI-Orbitrap  none  negative,6G  EMBL  AP-MALDI-Orbitrap  CHCA  negative,14D  MPI Bremen  AP-MALDI-Orbitrap  9AA  negative,7B  Dreisewerd group  MALDI-qTOF  DHAP  negative,3A  Dreisewerd group  MALDI2-Orbitrap  DHAP  negative,3F  EMBL  AP-MALDI-Orbitrap  DHAP  negative,7J  EMBL  AP-MALDI-Orbitrap  DHB  negative,3D  EMBL  AP-MALDI-Orbitrap  ClCCA  negative,3C  EMBL  AP-MALDI-Orbitrap  CMBT  negative,3J  EMBL  AP-MALDI-Orbitrap  MAPS  negative,3H  EMBL  AP-MALDI-Orbitrap  NEDC  negative,6H  EMBL  AP-MALDI-Orbitrap  PNDI  negative
Amines,0.16666666666666666,0.4166666666666667,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.3333333333333333,0.4166666666666667,0.08333333333333333,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Amino acids, peptides, and analogues",0.6808510638297872,0.574468085106383,0.44680851063829785,0.5531914893617021,0.6808510638297872,0.7659574468085106,0.8085106382978723,0.7872340425531915,0.9361702127659575,0.8085106382978723,0.7021276595744681,0.6808510638297872,0.46808510638297873,0.2553191489361702,0.1702127659574468,0.2553191489361702,0.5106382978723404,0.5106382978723404,0.23404255319148937,0.2127659574468085,0.2978723404255319,0.02127659574468085,0.0851063829787234,0.0
Carbohydrates,0.35294117647058826,0.6470588235294118,0.5294117647058824,0.7058823529411765,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.9411764705882353,0.9411764705882353,0.7647058823529411,0.5882352941176471,0.5294117647058824,0.6470588235294118,0.5294117647058824,0.5294117647058824,0.17647058823529413,0.17647058823529413,0.29411764705882354,0.29411764705882354,0.23529411764705882,0.11764705882352941,0.0,0.0,0.0
Carboxylic acids,0.5263157894736842,0.47368421052631576,0.3157894736842105,0.47368421052631576,0.5263157894736842,0.6842105263157895,0.7368421052631579,0.7368421052631579,0.8421052631578947,0.6842105263157895,0.631578947368421,0.6842105263157895,0.631578947368421,0.631578947368421,0.3684210526315789,0.2631578947368421,0.21052631578947367,0.631578947368421,0.5789473684210527,0.5263157894736842,0.42105263157894735,0.3684210526315789,0.2631578947368421,0.10526315789473684
Lipids and lipid-like molecules,0.3055555555555556,0.5833333333333334,0.7222222222222222,0.6666666666666666,0.75,0.6388888888888888,0.7222222222222222,0.7222222222222222,0.7777777777777778,0.7222222222222222,0.6388888888888888,0.6944444444444444,0.3888888888888889,0.4444444444444444,0.5,0.5,0.5277777777777778,0.6111111111111112,0.4166666666666667,0.4166666666666667,0.6111111111111112,0.5277777777777778,0.6666666666666666,0.3333333333333333
"Nucleosides, nucleotides, and analogues",0.72,0.76,0.76,0.84,0.76,0.84,0.92,0.76,0.96,0.88,0.92,0.68,0.52,0.52,0.52,0.48,0.48,0.36,0.48,0.36,0.16,0.08,0.16,0.16
Vitamins and cofactors,0.75,0.6875,0.5625,0.5625,0.5,0.625,0.6875,0.8125,0.875,0.9375,0.75,0.625,0.5625,0.375,0.375,0.4375,0.625,0.5,0.5,0.4375,0.375,0.1875,0.0625,0.125
