main_coarse_class,7J  EMBL  AP-MALDI-Orbitrap  DHB  positive,9A  NCSU  IR-MALDESI-Orbitrap  water  positive,8A  JLU Giessen  AP-MALDI-Orbitrap  DHB  positive,12C  HS Mannheim  MALDI-FTICR  DHB  positive,4F  Dreisewerd group  MALDI2-Orbitrap  DHAP  positive,13G  Bruker  MALDI-qTOF  DHB  positive,12G  HS Mannheim  MALDI-qTOF  DHB  positive,5HJ  U Copenhagen  DESI-Orbitrap  none  positive,1A  AstraZeneca  DESI-Orbitrap  none  positive,1J  UT Austin  DESI-Orbitrap  none  positive,14B  MPI Bremen  AP-MALDI-Orbitrap  sDHB  positive,2I  Dreisewerd group  MALDI-qTOF  DHAP  positive,10I  PNNL  MALDI-FTICR  DHB  positive
Amines,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.6666666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.75,0.6666666666666666,0.75
"Amino acids, peptides, and analogues",0.9361702127659575,0.9361702127659575,0.8723404255319149,0.8936170212765957,0.9361702127659575,0.9148936170212766,0.574468085106383,0.851063829787234,0.7446808510638298,0.574468085106383,0.44680851063829785,0.2978723404255319,0.2553191489361702
Carbohydrates,0.6470588235294118,0.9411764705882353,0.8823529411764706,0.9411764705882353,0.9411764705882353,0.8823529411764706,0.7058823529411765,0.4117647058823529,0.29411764705882354,0.29411764705882354,0.35294117647058826,0.35294117647058826,0.0
Carboxylic acids,0.6842105263157895,0.631578947368421,0.47368421052631576,0.47368421052631576,0.47368421052631576,0.3684210526315789,0.3684210526315789,0.21052631578947367,0.15789473684210525,0.3684210526315789,0.21052631578947367,0.10526315789473684,0.0
Lipids and lipid-like molecules,0.8888888888888888,0.8055555555555556,0.7222222222222222,0.8888888888888888,0.9444444444444444,0.8611111111111112,0.5833333333333334,0.6944444444444444,0.6388888888888888,0.5277777777777778,0.7777777777777778,0.8333333333333334,0.7222222222222222
"Nucleosides, nucleotides, and analogues",0.84,0.92,0.92,0.88,0.8,0.8,0.52,0.52,0.52,0.44,0.4,0.4,0.4
Vitamins and cofactors,1.0,0.875,1.0,0.9375,0.9375,0.875,0.6875,0.4375,0.5,0.375,0.75,0.75,0.6875
