row_id,dataset_id,name_short,formula,adduct,neutral_loss,well,occupancy_ratio,on_off_ratio,spot_occupancy,spot_occupancy_thresholded,image_occupancy,other_spots_occupancy,bg_occupancy,far_bg_occupancy,occupancy_vs_far_bg_ratio,in_n_spots,spot_intensity,spot_intensity_bgr_corrected,spot_intensity_sum,spot_intensity_std,other_spot_intensity,bg_intensity,far_bg_intensity,intensity_vs_far_bg_ratio,intensity_vs_other_spots_ratio,spot_intensity_tic_norm,spot_intensity_bgr_corrected_tic_norm,spot_intensity_sum_tic_norm,spot_intensity_std_tic_norm,other_spot_intensity_tic_norm,bg_intensity_tic,far_bg_intensity_tic,intensity_vs_far_bg_ratio_tic,intensity_vs_other_spots_ratio_tic
2021-11-08_17h36m00s_C26H45NO7S_-H__144,2021-11-08_17h36m00s,Taurocholic acid,C26H45NO7S,-H,,144,47.82608695652174,1731356.93359375,0.4782608695652174,0.391304347826087,0.0009489302967563837,0.0,0.0,0.0,47.82608695652174,1,1731.35693359375,1731.35693359375,119463.625,5248.6396484375,0.0,0.0,0.0,1731356.93359375,1731356.93359375,0.000986816710792482,0.000986816710792482,0.06809035688638687,0.003351782215759158,0.0,0.0,0.0,0.9868167107924819,0.9868167107924819
2021-11-08_17h36m00s_C26H45NO7S_[M]-__144,2021-11-08_17h36m00s,Taurocholic acid,C26H45NO7S,[M]-,,144,34.309911861736175,35915.70684844355,0.34782608695652173,0.3333333333333333,0.0008339084426040948,0.0001546551190844417,0.00013777267508610793,0.00013777267508610793,34.46017431608645,1,497.3653259277344,497.3565979003906,34318.20703125,1595.3511962890625,0.014422518201172352,0.01284812856465578,0.008725708350539207,51139.23922057149,32249.294145097967,0.0002844709379132837,0.0002844656119123101,0.01962849497795105,0.0010237741516903043,7.632991128048161e-09,8.367140758025471e-09,5.339467090692551e-09,0.2844694189981827,0.2844687665657123
2021-11-08_17h36m00s_C26H45NO7S_-H_-H2O_144,2021-11-08_17h36m00s,Taurocholic acid,C26H45NO7S,-H,-H2O,144,14.360851428665644,5439.650022817306,0.14492753623188406,0.14492753623188406,0.00037382102599493904,7.732755954222085e-05,9.184845005740528e-05,9.184845005740528e-05,14.358405965036024,2,51.4278678894043,51.419254302978516,3548.52294921875,206.94403076171875,0.007363110780715942,0.008454260416328907,0.008612468838691711,5350.120635231499,6149.370639450228,3.1885396310826764e-05,3.187844413332641e-05,0.0022000924218446016,0.00013573818432632834,4.817491738862145e-09,6.824935727678394e-09,6.9526540080744326e-09,0.031885174624239614,0.03188524270393345
2021-11-08_17h36m00s_C26H45NO7S_-H_-H2_144,2021-11-08_17h36m00s,Taurocholic acid,C26H45NO7S,-H,-H2,144,12.924766285799079,5562.319001368439,0.13043478260869565,0.13043478260869565,0.00040257648953301127,0.00023198267862666253,9.184845005740528e-05,9.184845005740528e-05,12.92256536853242,4,57.39348220825195,57.38399124145508,3960.150146484375,232.09686279296875,0.026510970667004585,0.00931826513260603,0.009492642246186733,5469.878879088826,2086.2034605375484,3.475373887340538e-05,3.4748194593703374e-05,0.0023980080150067806,0.00015189389523584396,1.7189531575922956e-08,5.442929218446579e-09,5.54478507552858e-09,0.03475354617246124,0.034753141483182495
2021-11-08_17h36m00s_C26H45NO7S_+Cl_+H2_144,2021-11-08_17h36m00s,Taurocholic acid,C26H45NO7S,+Cl,+H2,144,0.0,0.0,0.0,0.0,8.62663906142167e-05,7.732755954222085e-05,9.184845005740528e-05,9.184845005740528e-05,0.0,1,0.0,-0.00985261145979166,0.0,0.0,0.010103926062583923,0.009671622887253761,0.00985261145979166,0.0,0.0,0.0,-6.164035948330593e-09,0.0,0.0,3.303122442233075e-09,6.050804746138283e-09,6.164035948330593e-09,0.0,0.0
2021-11-08_17h36m00s_C26H45NO7S_-H_-CO2_144,2021-11-08_17h36m00s,Taurocholic acid,C26H45NO7S,-H,-CO2,144,0.0,0.0,0.0,0.0,0.00011502185415228893,0.0,0.00018369690011481055,0.00018369690011481055,0.0,0,0.0,-0.018059225752949715,0.0,0.0,0.0,0.017727483063936234,0.018059225752949715,0.0,0.0,0.0,-1.543982186547055e-08,0.0,0.0,0.0,1.515619629799403e-08,1.543982186547055e-08,0.0,0.0
2021-11-08_17h36m00s_C26H45NO7S_[M]-_-CH2O2_144,2021-11-08_17h36m00s,Taurocholic acid,C26H45NO7S,[M]-,-CH2O2,144,0.0,0.0,0.0,0.0,2.8755463538072233e-05,0.0,4.592422502870264e-05,4.592422502870264e-05,0.0,0,0.0,-0.004784420598298311,0.0,0.0,0.0,0.004696532152593136,0.004784420598298311,0.0,0.0,0.0,-2.8068829482919e-09,0.0,0.0,0.0,2.7553215264930486e-09,2.8068829482919e-09,0.0,0.0
2021-11-08_17h36m00s_C26H45NO7S_[M]-_-CH2O3_144,2021-11-08_17h36m00s,Taurocholic acid,C26H45NO7S,[M]-,-CH2O3,144,0.0,0.0,0.0,0.0,0.00023004370830457787,0.0003093102381688834,0.00018369690011481055,0.00018369690011481055,0.0,4,0.0,-0.019072171300649643,0.0,0.0,0.030812880024313927,0.018721820786595345,0.019072171300649643,0.0,0.0,0.0,-1.1899448537633361e-08,0.0,0.0,2.858457648358126e-08,1.1680859834939383e-08,1.1899448537633361e-08,0.0,0.0
2021-11-08_17h36m00s_C26H45NO7S_-H_-CH2O3_144,2021-11-08_17h36m00s,Taurocholic acid,C26H45NO7S,-H,-CH2O3,144,0.0,0.0,0.0,0.0,0.00023004370830457787,0.00023198267862666253,0.0002296211251435132,0.0002296211251435132,0.0,3,0.0,-0.024668071419000626,0.0,0.0,0.021490085870027542,0.02421492710709572,0.024668071419000626,0.0,0.0,0.0,-1.5217704429915102e-08,0.0,0.0,1.4873038800544691e-08,1.4938160930455524e-08,1.5217704429915102e-08,0.0,0.0
2021-11-08_17h36m00s_C26H45NO7S_+Cl__144,2021-11-08_17h36m00s,Taurocholic acid,C26H45NO7S,+Cl,,144,0.0,0.0,0.0,0.0,0.00011502185415228893,0.00023198267862666253,4.592422502870264e-05,4.592422502870264e-05,0.0,3,0.0,-0.00522997509688139,0.0,0.0,0.024581527337431908,0.005133902188390493,0.00522997509688139,0.0,0.0,0.0,-2.5775348522216746e-09,0.0,0.0,1.8904941612163384e-08,2.530186282712066e-09,2.5775348522216746e-09,0.0,0.0
