row_id,dataset_id,name_short,formula,adduct,neutral_loss,well,occupancy_ratio,on_off_ratio,spot_occupancy,spot_occupancy_thresholded,image_occupancy,other_spots_occupancy,bg_occupancy,far_bg_occupancy,occupancy_vs_far_bg_ratio,in_n_spots,spot_intensity,spot_intensity_bgr_corrected,spot_intensity_sum,spot_intensity_std,other_spot_intensity,bg_intensity,far_bg_intensity,intensity_vs_far_bg_ratio,intensity_vs_other_spots_ratio,spot_intensity_tic_norm,spot_intensity_bgr_corrected_tic_norm,spot_intensity_sum_tic_norm,spot_intensity_std_tic_norm,other_spot_intensity_tic_norm,bg_intensity_tic,far_bg_intensity_tic,intensity_vs_far_bg_ratio_tic,intensity_vs_other_spots_ratio_tic
2021-12-19_16h27m49s_C24H40O5_-H__25,2021-12-19_16h27m49s,Cholic acid,C24H40O5,-H,,25,74.49340862997411,4793.182912864838,0.8660714285714286,0.75,0.002827032452325192,0.0038468844984802433,0.0016261484673550696,0.0016261484673550696,83.35020414626146,4,1323223.875,1323208.375,148201072.0,1947371.375,567.6663208007812,276.0627136230469,15.536419868469238,85163.68137062935,2330.9847625778266,0.10404253005981445,0.10403930395841599,11.652763366699219,0.08960980176925659,9.744607814354822e-05,5.097997927805409e-05,3.225122327421559e-06,103.70805888357548,94.80422968553857
2021-12-19_16h27m49s_C24H40O5_-H_-H2O_25,2021-12-19_16h27m49s,Cholic acid,C24H40O5,-H,-H2O,25,18.06429818377144,687.5271551892006,0.875,0.7678571428571429,0.041602542656406824,0.05195668693009119,0.03843808439710546,0.03843808439710546,18.617738180672486,24,6746.3271484375,6738.39404296875,755588.625,9600.17578125,40.651241302490234,9.81145191192627,7.9330058097839355,850.3052947249128,165.9521574281377,0.0005451454198919237,0.0005432642647065222,0.061056286096572876,0.0004933669115416706,5.338336904969765e-06,2.236638465547003e-06,1.8811641666616197e-06,0.5441218373891291,0.5422507029526059
2021-12-19_16h27m49s_C24H40O5_-H_-H2_25,2021-12-19_16h27m49s,Cholic acid,C24H40O5,-H,-H2,25,44.15798594489018,1402.0079261735618,0.9375,0.8392857142857143,0.0162847106055537,0.03500189969604863,0.01123058785267095,0.01123058785267095,49.562919955639636,19,15656.109375,15650.666015625,1753484.25,19227.259765625,47.679847717285156,11.165919303894043,5.443338394165039,2875.667940071361,328.3521607633746,0.0013901109341531992,0.0013888311805203557,0.1556924283504486,0.0010308827040717006,7.5686916716222186e-06,2.3644665816391353e-06,1.2798074067177367e-06,1.3883341338457045,1.3796686475508826
2021-12-19_16h27m49s_C24H40O5_[M]-__25,2021-12-19_16h27m49s,Cholic acid,C24H40O5,[M]-,,25,65.51728785537146,2382.3363922671006,0.7410714285714286,0.6875,0.0017898962863834057,9.498480243161094e-05,0.0013110822018050248,0.0013110822018050248,73.87923308085689,2,153681.328125,153681.09375,17212308.0,234922.953125,2.4200937747955322,64.50765991210938,0.23288677632808685,657075.7463834641,63475.991605479554,0.017990997061133385,0.017990946769714355,2.0149917602539062,0.01864652708172798,2.757472543635231e-07,1.2181450074422173e-05,5.0714529464812586e-08,17.990084702452666,17.98603746068672
2021-12-19_16h27m49s_C24H40O5_+Cl__25,2021-12-19_16h27m49s,Cholic acid,C24H40O5,+Cl,,25,29.815147218535056,1135.63328649119,0.4017857142857143,0.4017857142857143,0.004458012713282034,0.006933890577507599,0.003475892348971461,0.003475892348971461,30.254326155153112,67,903.9193725585938,903.2310791015625,101238.96875,2059.277587890625,5.010391712188721,0.794960618019104,0.6882787942886353,1311.3987838425764,180.37292322611273,5.6180968385888264e-05,5.596649498329498e-05,0.006292268633842468,9.100745228352025e-05,2.8790205419682025e-07,2.315985483392069e-07,2.1447519316097896e-07,0.056168921545590125,0.05616479842504814
2021-12-19_16h27m49s_C24H40O5_+Cl_-CO2_25,2021-12-19_16h27m49s,Cholic acid,C24H40O5,+Cl,-CO2,25,0.0,0.0,0.0,0.0,0.002116092338574774,0.003704407294832827,0.0017785998861696074,0.0017785998861696074,0.0,44,0.0,-0.3934626281261444,0.0,0.0,1.473585605621338,0.39986759424209595,0.3934626281261444,0.0,0.0,0.0,-1.131274771637436e-07,0.0,0.0,2.403786538707209e-07,1.1365793994855267e-07,1.131274771637436e-07,0.0,0.0
2021-12-19_16h27m49s_C24H40O5_-H_+H2_25,2021-12-19_16h27m49s,Cholic acid,C24H40O5,-H,+H2,25,2.0980106512549854,10.211740952097138,0.03571428571428571,0.03571428571428571,0.007920709267313484,0.011968085106382979,0.007022928693389706,0.007022928693389706,2.113285745578198,111,15.78182315826416,14.284614562988281,1767.564208984375,90.12330627441406,4.180962085723877,1.5444586277008057,1.497208595275879,10.533795633016048,3.7737843707715975,2.459439883750747e-06,2.056362518487731e-06,0.0002754572778940201,1.3873929674446117e-05,6.460836061705777e-07,4.0933781519925105e-07,4.030773936847254e-07,0.002458448938560085,0.0024578519059279317
2021-12-19_16h27m49s_C24H40O5_[M]-_-H2O_25,2021-12-19_16h27m49s,Cholic acid,C24H40O5,[M]-,-H2O,25,20.573413593310896,382.7118320048555,0.24107142857142858,0.24107142857142858,0.0022415523586483774,0.003419452887537994,0.0017176193186437922,0.0017176193186437922,21.264525692723936,29,191.1729278564453,190.86965942382812,21411.3671875,447.6821594238281,2.9137442111968994,0.4985218644142151,0.30326685309410095,628.3067837077904,65.58823485164169,2.8509239200502634e-05,2.8432217732188292e-05,0.003193034790456295,6.01820029260125e-05,3.1537533118353167e-07,1.1578097058873027e-07,7.702077198246116e-08,0.028507043566000242,0.028500250924428528
2021-12-19_16h27m49s_C24H40O5_-H_-CH2O2_25,2021-12-19_16h27m49s,Cholic acid,C24H40O5,-H,-CH2O2,25,1.145028218396048,1.9677868090885395,0.03571428571428571,0.03571428571428571,0.022022415523586483,0.025835866261398176,0.02119074721522075,0.02119074721522075,1.147584936012416,176,19.27492904663086,9.521647453308105,2158.7919921875,100.20877838134766,12.454424858093262,9.794232368469238,9.753281593322754,1.976048042310509,1.5475127718430604,3.1969932479114505e-06,7.451642431988148e-07,0.00035806323285214603,1.686818359303288e-05,2.6183722638961626e-06,2.456354877722333e-06,2.4518290047126357e-06,0.003189173938747356,0.0031886441904038633
2021-12-19_16h27m49s_C24H40O5_[M]-_-H2_25,2021-12-19_16h27m49s,Cholic acid,C24H40O5,[M]-,-H2,25,54.76501391149142,1846.36506332317,0.8482142857142857,0.8125,0.006883573101371696,0.008928571428571428,0.00548825107732336,0.00548825107732336,59.57987320665004,32,4045.857421875,4044.983154296875,453136.03125,4904.90673828125,3.4929964542388916,2.1902554035186768,0.8743227124214172,4622.132345547037,1157.9454858823897,0.0003608266415540129,0.0003606115060392767,0.04041258245706558,0.0002682297199498862,5.733490411330422e-07,4.59861354329405e-07,2.1512157388769992e-07,0.3607490366534695,0.36061988049131966
