row_id,dataset_id,name_short,formula,adduct,neutral_loss,well,occupancy_ratio,on_off_ratio,spot_occupancy,spot_occupancy_thresholded,image_occupancy,other_spots_occupancy,bg_occupancy,far_bg_occupancy,occupancy_vs_far_bg_ratio,in_n_spots,spot_intensity,spot_intensity_bgr_corrected,spot_intensity_sum,spot_intensity_std,other_spot_intensity,bg_intensity,far_bg_intensity,intensity_vs_far_bg_ratio,intensity_vs_other_spots_ratio,spot_intensity_tic_norm,spot_intensity_bgr_corrected_tic_norm,spot_intensity_sum_tic_norm,spot_intensity_std_tic_norm,other_spot_intensity_tic_norm,bg_intensity_tic,far_bg_intensity_tic,intensity_vs_far_bg_ratio_tic,intensity_vs_other_spots_ratio_tic
2021-07-30_03h21m10s_C40H79NO3_+Na__34,2021-07-30_03h21m10s,Cer d8:1/22:0 Cer,C40H79NO3,+Na,,34,71.1864406779661,20959316.40625,0.711864406779661,0.5254237288135594,0.001317192498275105,0.0,0.0,0.0,71.1864406779661,1,20959.31640625,20959.31640625,3709799.0,34359.296875,0.0,0.0,0.0,20959316.40625,20959316.40625,0.012723847292363644,0.012723847292363644,2.2521209716796875,0.017465829849243164,0.0,0.0,0.0,12.723847292363644,12.723847292363644
2021-07-30_03h21m10s_C40H79NO3_+H__34,2021-07-30_03h21m10s,Cer d8:1/22:0 Cer,C40H79NO3,+H,,34,84.44819019416444,68300.13923125483,0.8757062146892656,0.7401129943502824,0.0019966965648455957,0.0003906719557639139,0.00036974519733140425,0.00036974519733140425,87.2835187970287,1,2153.265625,2153.263671875,381128.0,2883.615234375,0.023930571973323822,0.03052651882171631,0.0020148647017776966,714216.337380029,86370.48629706669,0.001439923420548439,0.001439922139979899,0.25486645102500916,0.00169723283033818,1.1143185041362358e-08,2.4834012180008358e-08,1.2808571980826855e-09,1.4399215762145234,1.4399073753941125
2021-07-30_03h21m10s_C40H79NO3_+H_-H2O_34,2021-07-30_03h21m10s,Cer d8:1/22:0 Cer,C40H79NO3,+H,-H2O,34,83.98550908080725,106068.45201599415,0.8587570621468926,0.6836158192090396,0.0017667105730832758,9.015506671474937e-05,0.00022506229402781126,0.00022506229402781126,85.59416036869911,1,23143.427734375,23143.361328125,4096386.75,31649.1328125,0.06090204790234566,0.21719332039356232,0.06666041910648346,342052.68072537426,373871.76222158596,0.015446687117218971,0.01544665265828371,2.7340636253356934,0.018756883218884468,3.36413741308661e-08,1.4745241116997931e-07,3.459676634065545e-08,15.4461527302821,15.446167486919656
2021-07-30_03h21m10s_C40H79NO3_+Na_-H2O_34,2021-07-30_03h21m10s,Cer d8:1/22:0 Cer,C40H79NO3,+Na,-H2O,34,63.89376717514525,7724.0465867042885,0.7231638418079096,0.7175141242937854,0.0030211796190595663,0.0023740834234884,0.0013182220078771802,0.0013182220078771802,65.33220075397283,35,414.0791931152344,414.0367736816406,73292.015625,620.4149169921875,0.11998166143894196,0.05260910093784332,0.042411867529153824,9538.387005284992,3422.6608247086715,0.00026050288579426706,0.00026047113351523876,0.04610900953412056,0.00032725464552640915,6.90658836788316e-08,3.918641766631481e-08,3.175122031962019e-08,0.26049461477236135,0.26048489517479684
2021-07-30_03h21m10s_C40H79NO3_+K__34,2021-07-30_03h21m10s,Cer d8:1/22:0 Cer,C40H79NO3,+K,,34,73.46236775205931,66570.0431502571,0.7570621468926554,0.5480225988700564,0.0020071504735620646,0.0011720158672917419,0.0003054416847520296,0.0003054416847520296,74.24100401192543,1,1543.79345703125,1543.7796630859375,273251.4375,2615.842041015625,0.07575006037950516,0.022190513089299202,0.013818720355629921,104178.59437132388,20114.55690585352,0.0009221252985298634,0.0009221125510521233,0.16321617364883423,0.001293370733037591,4.9942975977046444e-08,1.8885684127667446e-08,1.275337702111301e-08,0.922113538468251,0.9220792471481741
2021-07-30_03h21m10s_C40H79NO3_[M]+__34,2021-07-30_03h21m10s,Cer d8:1/22:0 Cer,C40H79NO3,[M]+,,34,44.83925273360248,1883.1390299954924,0.4858757062146893,0.4858757062146893,0.002132597378159694,0.001983411467724486,0.0008359456635318704,0.0008359456635318704,44.82755043772173,51,74.91685485839844,74.87782287597656,13260.283203125,106.81925964355469,0.08990617096424103,0.03878296539187431,0.0390298068523407,1871.526763412743,824.1118734158084,5.135194805916399e-05,5.13212253281381e-05,0.009089294821023941,6.933452823432162e-05,6.905850824523441e-08,3.0385198357407717e-08,3.0723384725206415e-08,0.051350370401978346,0.051348402015120045
2021-07-30_03h21m10s_C40H79NO3_+K_+C7H6O4_34,2021-07-30_03h21m10s,Cer d8:1/22:0 Cer,C40H79NO3,+K,+C7H6O4,34,1.977997343273402,6.748313575562336,0.03389830508474576,0.03389830508474576,0.010025298459093855,0.015296309652602477,0.007137689896310586,0.007137689896310586,1.9798840034079677,134,2.2007312774658203,1.8759407997131348,389.5294494628906,12.839194297790527,1.224367618560791,0.32511574029922485,0.32479050755500793,6.7550503358181455,1.7959763618126336,2.117681333402288e-06,1.8646521766640944e-06,0.00037482960033230484,1.2965603673364967e-05,9.453373195356107e-07,2.5473642040196864e-07,2.530291283164843e-07,0.0021171456338880262,0.002115681300912292
2021-07-30_03h21m10s_C40H79NO3_+H_-H2_34,2021-07-30_03h21m10s,Cer d8:1/22:0 Cer,C40H79NO3,+H,-H2,34,58.80661772862373,2045.4268023429236,0.7005649717514124,0.7005649717514124,0.0036275063246147734,0.0031253756461113113,0.0019130294992363958,0.0019130294992363958,59.406791873981746,60,172.06101989746094,171.9835662841797,30454.80078125,219.31578063964844,0.16340577602386475,0.08311986178159714,0.07745102792978287,2193.2283672747176,1046.5631078100623,0.00011966677266173065,0.0001196039593196474,0.0211810190230608,0.0001386728254146874,1.1057771587275056e-07,6.74419524671066e-08,6.281450737333216e-08,0.11965925632449197,0.1196535416463993
2021-07-30_03h21m10s_C40H79NO3_[M]+_+C7H6O4_34,2021-07-30_03h21m10s,Cer d8:1/22:0 Cer,C40H79NO3,[M]+,+C7H6O4,34,8.958467447517249,31.431303216257373,0.1977401129943503,0.1977401129943503,0.01615128896694474,0.02280923187883159,0.01207298448677759,0.01207298448677759,8.965639911408008,177,17.649717330932617,17.090913772583008,3124.0,39.881046295166016,1.8378010988235474,0.5605331063270569,0.5588043928146362,31.52836518876127,9.598491833741447,1.0697251127567142e-05,1.0239686162094586e-05,0.0018934133695438504,2.407650026725605e-05,1.0729014547905535e-06,4.5886005750617187e-07,4.575645391469152e-07,0.010692358683393782,0.010685786331866102
2021-07-30_03h21m10s_C40H79NO3_[M]+_-H2_34,2021-07-30_03h21m10s,Cer d8:1/22:0 Cer,C40H79NO3,[M]+,-H2,34,10.954450407272043,71.22548370687115,0.14124293785310735,0.14124293785310735,0.003920215768675908,0.005108787113835798,0.0028936580660718593,0.0028936580660718593,10.939702113654874,96,9.218345642089844,9.089422225952148,1631.6470947265625,24.580007553100586,0.27213868498802185,0.12842482328414917,0.12892359495162964,70.95205182339528,33.749688889708544,6.2567896748078056e-06,6.147790827526478e-06,0.0011074517387896776,1.7640810256125405e-05,1.9955810159899556e-07,1.0832992103360084e-07,1.089989254410284e-07,0.0062561077657838915,0.006255541330855346
