row_id,dataset_id,name_short,formula,adduct,neutral_loss,well,occupancy_ratio,on_off_ratio,spot_occupancy,spot_occupancy_thresholded,image_occupancy,other_spots_occupancy,bg_occupancy,far_bg_occupancy,occupancy_vs_far_bg_ratio,in_n_spots,spot_intensity,spot_intensity_bgr_corrected,spot_intensity_sum,spot_intensity_std,other_spot_intensity,bg_intensity,far_bg_intensity,intensity_vs_far_bg_ratio,intensity_vs_other_spots_ratio,spot_intensity_tic_norm,spot_intensity_bgr_corrected_tic_norm,spot_intensity_sum_tic_norm,spot_intensity_std_tic_norm,other_spot_intensity_tic_norm,bg_intensity_tic,far_bg_intensity_tic,intensity_vs_far_bg_ratio_tic,intensity_vs_other_spots_ratio_tic
2021-07-30_07h11m07s_C9H14N4O3_-H__132,2021-07-30_07h11m07s,Carnosine,C9H14N4O3,-H,,132,78.68232195274396,2442.468388467051,1.0,1.0,0.0035786435786435786,0.00012020675561966583,0.0027093351490134333,0.0027093351490134333,99.71140804017199,2,54874.87109375,54874.75,9712852.0,42364.2265625,0.18820667266845703,22.465972900390625,0.12084098160266876,450381.06531922455,290026.08798002655,0.07019644230604172,0.07019628584384918,12.42477035522461,0.0534738227725029,2.3583417885220115e-07,2.9978262318763882e-05,1.5392063801300537e-07,70.18563928766321,70.17989148896048
2021-07-30_07h11m07s_C9H14N4O3_-H_-CH2O2_132,2021-07-30_07h11m07s,Carnosine,C9H14N4O3,-H,-CH2O2,132,36.726426936621536,468.19508697930104,0.7288135593220338,0.7288135593220338,0.01288119288119288,0.015506671474936892,0.00984439054144148,0.00984439054144148,38.68026188251424,166,171.39529418945312,171.1096649169922,30336.966796875,166.93955993652344,0.5496746897697449,0.3650766611099243,0.28563404083251953,597.9586154234888,311.24599945045435,0.0002194459520978853,0.00021904311142861843,0.03884193301200867,0.00021255150204524398,7.412621698676958e-07,5.093288564239629e-07,4.028452167403884e-07,0.21935758494403487,0.2192834056048307
2021-07-30_07h11m07s_C9H14N4O3_+Cl_+H2_132,2021-07-30_07h11m07s,Carnosine,C9H14N4O3,+Cl,+H2,132,2.6868506582748304,2.412745227809806,0.21468926553672316,0.022598870056497175,0.07747955747955748,0.09279961533838202,0.06990368384470261,0.06990368384470261,2.741205248154782,129,6.492079734802246,4.522693157196045,1149.09814453125,13.75347900390625,13.918127059936523,2.689743995666504,1.9693866968154907,3.2948251961377166,0.46641428782473177,8.259035894297995e-06,5.507208697963506e-06,0.0014618493150919676,1.743131178955082e-05,1.855707887443714e-05,3.71309192814806e-06,2.751827423708164e-06,0.008236370823194897,0.008108564621066395
2021-07-30_07h11m07s_C9H14N4O3_+Cl_+C10H8N2_132,2021-07-30_07h11m07s,Carnosine,C9H14N4O3,+Cl,+C10H8N2,132,0.9769711594021692,1.0917249359789214,0.1751412429378531,0.1751412429378531,0.17502645502645503,0.1872220218776295,0.1692696143098288,0.1692696143098288,0.9774342287842797,189,7.262413024902344,0.6153111457824707,1285.4471435546875,16.45973777770996,8.732536315917969,6.6512370109558105,6.647101879119873,1.092403990936402,0.8315546832576494,9.247386515198741e-06,-1.4011129678692669e-07,0.0016367874341085553,2.091242276947014e-05,1.1876746611960698e-05,9.383801625517663e-06,9.387497811985668e-06,0.009161384042544593,0.00913884674804665
2021-07-30_07h11m07s_C9H14N4O3_-H_+C10H10N2_132,2021-07-30_07h11m07s,Carnosine,C9H14N4O3,-H,+C10H10N2,132,16.67013646173418,60.43030054322462,0.6836158192090396,0.6836158192090396,0.03636363636363636,0.04426613775694194,0.031008411705462643,0.031008411705462643,16.925432400693317,189,63.343528747558594,62.327911376953125,11211.8046875,59.912593841552734,1.7252964973449707,1.0472080707550049,1.015616536140442,62.30818257987486,36.693307809510365,8.137546683428809e-05,7.994215411599725e-05,0.014403457753360271,7.673005893593654e-05,2.3411050733557204e-06,1.4741381164640188e-06,1.4333115814224584e-06,0.08125899737225965,0.08118540327479902
2021-07-30_07h11m07s_C9H14N4O3_[M]-_+C10H10N2_132,2021-07-30_07h11m07s,Carnosine,C9H14N4O3,[M]-,+C10H10N2,132,7.173063670356627,14.954947639153657,0.21468926553672316,0.21468926553672316,0.02227994227994228,0.026235124413992065,0.019929926096145936,0.019929926096145936,7.229684714144425,185,9.798604965209961,9.153402328491211,1734.35302734375,20.446331024169922,0.9673590064048767,0.654208242893219,0.6452027559280396,15.163359913465184,10.118772996791963,1.2545525351015385e-05,1.1636843737505842e-05,0.002220558002591133,2.615193989186082e-05,1.3143817341187969e-06,9.199191026709741e-07,9.086817840397998e-07,0.012534135810126043,0.012529057386840396
2021-07-30_07h11m07s_C9H14N4O3_-H_+H2_132,2021-07-30_07h11m07s,Carnosine,C9H14N4O3,-H,+H2,132,3.8699259570964717,15.12248426963551,0.14124293785310735,0.14124293785310735,0.0313997113997114,0.041200865488640465,0.02649758145736698,0.02649758145736698,3.9149984723449567,188,13.758125305175781,12.873233795166016,2435.188232421875,38.15285110473633,1.5224641561508179,0.9087794423103333,0.8848919868469238,15.530251440860017,9.030816543749241,1.766457353369333e-05,1.6418098311987706e-05,0.0031266293954104185,4.91510218125768e-05,2.054155629593879e-06,1.2772414947903599e-06,1.2464746532714344e-06,0.017642582501786602,0.017628362134374482
2021-07-30_07h11m07s_C9H14N4O3_[M]-_-CH2O3_132,2021-07-30_07h11m07s,Carnosine,C9H14N4O3,[M]-,-CH2O3,132,3.9525681982884073,9.012684704987855,0.07344632768361582,0.07344632768361582,0.011005291005291006,0.015807188363986056,0.0085819254720059,0.0085819254720059,3.9681069378064615,143,2.632502555847168,2.3433377742767334,465.95294189453125,9.541474342346191,0.671363890171051,0.29108861088752747,0.2891646921634674,9.07244274353035,3.915294373077431,3.3463302315794863e-06,2.942465243904735e-06,0.0005923004355281591,1.2157956007285975e-05,9.01335340586229e-07,4.061761558205035e-07,4.038650729398796e-07,0.0033449793112659593,0.003343316782009086
2021-07-30_07h11m07s_C9H14N4O3_+Cl_+C10H10N2_132,2021-07-30_07h11m07s,Carnosine,C9H14N4O3,+Cl,+C10H10N2,132,1.1945469329601706,1.8469777721752154,0.14689265536723164,0.14689265536723164,0.12498316498316499,0.1503185479023921,0.11296934621331405,0.11296934621331405,1.1988369309611224,189,7.773678779602051,3.590646743774414,1375.941162109375,20.090938568115234,6.929371356964111,4.207864284515381,4.183032035827637,1.8579395934439473,1.1216828621731108,9.941472853824962e-06,4.050581537740072e-06,0.0017596406396478415,2.5525083401589654e-05,9.351770131615922e-06,5.918299848417519e-06,5.89089131608489e-06,0.009883251692256368,0.009849363866998152
2021-07-30_07h11m07s_C9H14N4O3_-H_-H2_132,2021-07-30_07h11m07s,Carnosine,C9H14N4O3,-H,-H2,132,10.271349647755562,38.90274588711037,0.6836158192090396,0.6836158192090396,0.06240500240500241,0.07149296790479626,0.056555598110557895,0.056555598110557895,10.327724920088468,189,78.41216278076172,76.41899108886719,13878.953125,73.80406188964844,2.6988353729248047,2.014594554901123,1.9931753873825073,39.32059500728423,29.043312628286557,0.0001002755670924671,9.74684880929999e-05,0.017748774960637093,9.41021935432218e-05,3.670451178550138e-06,2.832800873875385e-06,2.8070796815882204e-06,0.09999487351476083,0.0999088565123338
