row_id,occupancy_ratio,on_off_ratio,spot_occupancy,spot_occupancy_thresholded,image_occupancy,other_spots_occupancy,bg_occupancy,far_bg_occupancy,occupancy_vs_far_bg_ratio,in_n_spots,spot_intensity,spot_intensity_tic_norm,spot_intensity_bgr_corrected,spot_intensity_sum,spot_intensity_std,other_spot_intensity,bg_intensity,far_bg_intensity,intensity_vs_far_bg_ratio,intensity_vs_other_spots_ratio
2021-02-15_17h57m16s_C10H26N4_+H__115,28.846153846153843,16360128.90625,0.28846153846153844,0.23076923076923078,0.00048678007788481245,0.0004091653027823241,0.0,0.0,28.846153846153843,2,16360.12890625,0.005057114642113447,16360.12890625,850726.6875,51789.88671875,1.2378655672073364,0.0,0.0,16360128.90625,13205.733809463421
2021-02-15_17h57m16s_C10H26N4_+Na__115,28.846153846153843,1543650.146484375,0.28846153846153844,0.2692307692307692,0.00048678007788481245,0.0004091653027823241,0.0,0.0,28.846153846153843,4,1543.650146484375,0.00048704660730436444,1543.650146484375,80269.8046875,4397.1279296875,0.14514225721359253,0.0,0.0,1543650.146484375,10562.654333635144
2021-02-15_17h57m16s_C10H26N4_+K__115,5.74954324954325,9915.555867852961,0.057692307692307696,0.057692307692307696,0.00010248001639680262,0.0,3.424188467333242e-05,3.424188467333242e-05,5.749219562955255,1,43.45529556274414,1.559579868626315e-05,43.45185852050781,2259.67529296875,224.62176513671875,0.0,0.0033825375139713287,0.003438343992456794,9790.880480782645,43455.29556274414
2021-02-17_18h14m40s_C10H26N4_+H__115,83.55563533983677,12201.408231984782,0.8648648648648649,0.8108108108108109,0.0016342631727247112,0.002304147465437788,0.00035076642463783365,0.00035076642463783365,85.8753393537692,2,28936.888671875,0.023742277175188065,28936.833984375,1070664.875,33244.86328125,2.1221561431884766,2.3706023693084717,0.054244741797447205,523794.441432472,13629.185382672169
2021-02-17_18h14m40s_C10H26N4_+Na__115,77.54505486734008,12402.8385933676,0.8108108108108109,0.8108108108108109,0.0014652014652014652,0.0012960829493087558,0.00045599635202918376,0.00045599635202918376,79.38618338228135,4,1471.808349609375,0.0012072372483089566,1471.7916259765625,54456.91015625,1879.7529296875,0.1805940568447113,0.117667056620121,0.016733692958950996,82995.02833483348,8104.936775920922
2021-02-17_18h14m40s_C10H26N4_+K__115,10.135335111493484,234.79116084120002,0.10810810810810811,0.10810810810810811,0.0008453085376162299,0.0010080645161290322,0.000666456206811884,0.000666456206811884,10.1600580616064,5,14.427557945251465,1.1941658158320934e-05,14.368949890136719,533.8196411132812,43.098567962646484,0.09851621836423874,0.06044847145676613,0.058608170598745346,242.03993849049849,144.9769513190829
2021-02-28_07h58m29s_C10H26N4_+H__115,61.72149559320961,8916.076719679168,0.6346153846153846,0.5576923076923077,0.0013349038084020416,0.0010229132569558102,0.0002819184550868661,0.0002819184550868661,63.46153846153846,2,12614.1103515625,0.0030397612135857344,12614.1103515625,655933.75,21895.888671875,2.530646800994873,1.4137601852416992,0.0,12614110.3515625,4982.571165379576
2021-02-28_07h58m29s_C10H26N4_+Na__115,18.897791961129567,6161.607310823877,0.19230769230769232,0.19230769230769232,0.00041879335165554245,0.00010229132569558102,0.00017619903442929133,0.00017619903442929133,19.230769230769234,2,419.7195129394531,0.00010651087359292433,419.7195129394531,21825.4140625,1126.53076171875,0.18488620221614838,0.06711851060390472,0.0,419719.5129394531,2257.9379638484597
2021-03-07_11h36m10s_C10H26N4_+H__115,42.76899344388739,10124.550666160147,0.5,0.38461538461538464,0.002388010540184453,0.0016386726751331422,0.001690712353471596,0.001690712353471596,42.66001174398121,1,3140.073974609375,0.0007210811018012464,3139.75927734375,163283.84375,9132.5615234375,0.2996291220188141,0.309144526720047,0.3146054446697235,9949.365664129833,10445.009297578501
2021-03-07_11h36m10s_C10H26N4_+Na__115,9.615384615384617,213832.21435546875,0.09615384615384616,0.09615384615384616,0.00013724198506807203,0.0,0.0,0.0,9.615384615384617,1,213.83221435546875,5.396222695708275e-05,213.83221435546875,11119.275390625,1138.63037109375,0.0,0.0,0.0,213832.21435546875,213832.21435546875
