name_short,hmdb_primary,concentration_value,concentration_units,pubmed_id,measured_value,normal_range_min,normal_range_max
alpha-tocopherol,HMDB0001893,30.9 (17.6-53.2),uM,19235557,30.9,17.6,53.2
alpha-tocopherol,HMDB0001893,14.6 +/- 0.4,uM,18029489,14.6,,
alpha-tocopherol,HMDB0001893,48.6 +/- 23.7,uM,15705230,48.6,,
alpha-tocopherol,HMDB0001893,48.3 +/- 22.5,uM,15705230,48.3,,
alpha-tocopherol,HMDB0001893,14.2 +/- 0.4,uM,18029489,14.2,,
Phylloquinone,HMDB0003555,0.0011 +/- 0.0042,uM,15340366,0.0011,,
Phylloquinone,HMDB0003555,0.000540 +/- 0.000560,uM,12067432,0.00054,,
Phylloquinone,HMDB0003555,0.000560 +/- 0.000580,uM,12067432,0.00056,,
Phylloquinone,HMDB0003555,0.000500 +/- 0.000520,uM,12067432,0.0005,,
Phylloquinone,HMDB0003555,0.00164 +/- 0.00215,uM,17181887,0.00164,,
Phylloquinone,HMDB0003555,0.00102,uM,9109609,0.00102,,
Phylloquinone,HMDB0003555,0.00147,uM,9109609,0.00147,,
Phylloquinone,HMDB0003555,0.00150 +/- 0.00219,uM,17181887,0.0015,,
Phylloquinone,HMDB0003555,0.00106,uM,9109609,0.00106,,
Phylloquinone,HMDB0003555,0.00143,uM,9109609,0.00143,,
Phylloquinone,HMDB0003555,0.00180 +/- 0.00209,uM,17181887,0.0018,,
Phylloquinone,HMDB0003555,0.0058 (0.0020-0.017),uM,,0.0058,0.002,0.017
Flavin mononucleotide,HMDB0001520,0.0084 (0.0035-0.013),uM,18230968,0.0084,0.0035,0.013
Flavin mononucleotide,HMDB0001520,0.0075 (0.004-0.011),uM,12194936,0.0075,0.004,0.011
Flavin adenine dinucleotide,HMDB0001248,0.061 (0.044-0.078),uM,18230968,0.061,0.044,0.078
Flavin adenine dinucleotide,HMDB0001248,0.075 (0.056-0.097),uM,12194936,0.075,0.056,0.097
Glycerophosphocholine,HMDB0000086,33.0 +/- 4.0,uM,16043031,33.0,,
Propionylcarnitine,HMDB0000824,0.31 +/- 0.15,uM,21359215,0.31,,
Propionylcarnitine,HMDB0000824,0.400 +/- 0.021,uM,16425363,0.4,,
Propionylcarnitine,HMDB0000824,0.15-0.70,uM,,,0.15,0.7
Propionylcarnitine,HMDB0000824,0.44(0.14),uM,26010610,0.44,,
Propionylcarnitine,HMDB0000824,0.34 +/- 0.10,uM,28278231,0.34,,
Propionylcarnitine,HMDB0000824,0.15-0.70,uM,,,0.15,0.7
Acetylcarnitine,HMDB0000201,5.48 +/- 2.15,uM,21359215,5.48,,
Acetylcarnitine,HMDB0000201,3.00-12.5,uM,,,3.0,12.5
Acetylcarnitine,HMDB0000201,8.05(3.22),uM,26010610,8.05,,
Acetylcarnitine,HMDB0000201,3.00-12.5,uM,,,3.0,12.5
Acetylcarnitine,HMDB0000201,6.2 +/- 0.6,uM,12905800,6.2,,
Acetylcarnitine,HMDB0000201,5.7 +/- 0.7,uM,12905800,5.7,,
Acetylcarnitine,HMDB0000201,6.56 +/- 2.26,uM,28278231,6.56,,
Phosphoserine,HMDB0000272,17.0 +/- 3.0,uM,1550070,17.0,,
Uric acid,HMDB0000289,303 +/- 59,uM,11307586,303.0,,
Uric acid,HMDB0000289,150-360,uM,,,150.0,360.0
Uric acid,HMDB0000289,140-410,uM,15651030,,140.0,410.0
Uric acid,HMDB0000289,377.6 +/- 82.6,uM,11887176,377.6,,
Uric acid,HMDB0000289,494.2,uM,21359215,494.2,,
Uric acid,HMDB0000289,372.0 (238.0-506.0),uM,,372.0,238.0,506.0
Uric acid,HMDB0000289,298.0 (149.0-446.0),uM,,298.0,149.0,446.0
Uric acid,HMDB0000289,271.95 +/- 43.13,uM,16139832,271.95,,
Uric acid,HMDB0000289,256.8 +/-  7.0,uM,6656991,256.8,,
Uric acid,HMDB0000289,291.475 +/- 59.485,uM,12847698,291.475,,
Uric acid,HMDB0000289,240.91 +/- 82.68,uM,22626821,240.91,,
Uric acid,HMDB0000289,302.0 +/- 60.0,uM,,302.0,,
Uric acid,HMDB0000289,234.0 +/- 52.0,uM,,234.0,,
Uric acid,HMDB0000289,<420,uM,15965771,420.0,,
Uric acid,HMDB0000289,200-420,uM,23249873,,200.0,420.0
Glucosamine,HMDB0001514,0.29 (0.0-0.6),uM,17353133,0.29,0.0,0.6
Butyric acid,HMDB0000039,1.0 (0.3- 1.5),uM,,1.0,0.3,1.5
Glycerol 3-phosphate,HMDB0000126,30.0 +/- 3.0,uM,,30.0,,
Retinoic acid,HMDB0001852,0.20 +/- 0.18,uM,,0.2,,
Retinoic acid,HMDB0001852,0.0145 +/- 0.0092,uM,2756924,0.0145,,
Arachidonic acid,HMDB0001043,2.94 +/- 0.058,uM,20671299,2.94,,
Arachidonic acid,HMDB0001043,14 +/- 12,uM,21359215,14.0,,
Arachidonic acid,HMDB0001043,31.6 +/- 21.7,uM,18633173,31.6,,
Arachidonic acid,HMDB0001043,55.4 +/- 4.48,uM,25004141,55.4,,
Arachidonic acid,HMDB0001043,31.5 +/- 25.8,uM,18633173,31.5,,
Arachidonic acid,HMDB0001043,31.7 +/- 30.4,uM,18633173,31.7,,
Arachidonic acid,HMDB0001043,5.263 +/- 2.072,uM,18953024,5.263,,
Arachidonic acid,HMDB0001043,594.5 +/- 144.9,uM,27329611,594.5,,
Arachidonic acid,HMDB0001043,348.150 +/- 52.551,uM,17069347,348.15,,
Arachidonic acid,HMDB0001043,344.865 +/- 55.835,uM,17069347,344.865,,
Arachidonic acid,HMDB0001043,312.0208 +/- 62.404,uM,17069347,312.0208,,
Arachidonic acid,HMDB0001043,348.150 +/- 49.266,uM,17069347,348.15,,
Arachidonic acid,HMDB0001043,12,uM,2000815,12.0,,
Arachidonic acid,HMDB0001043,15,uM,2000815,15.0,,
Arachidonic acid,HMDB0001043,16,uM,2000815,16.0,,
Arachidonic acid,HMDB0001043,17,uM,2000815,17.0,,
Arachidonic acid,HMDB0001043,19,uM,2000815,19.0,,
Arachidonic acid,HMDB0001043,20,uM,2000815,20.0,,
Arachidonic acid,HMDB0001043,66,uM,2000815,66.0,,
Arachidonic acid,HMDB0001043,82,uM,2000815,82.0,,
Arachidonic acid,HMDB0001043,86,uM,2000815,86.0,,
Arachidonic acid,HMDB0001043,132,uM,2000815,132.0,,
Arachidonic acid,HMDB0001043,134,uM,2000815,134.0,,
Arachidonic acid,HMDB0001043,158,uM,2000815,158.0,,
Arachidonic acid,HMDB0001043,475.750 +/- 136.599,uM,17313719,475.75,,
Arachidonic acid,HMDB0001043,349.398 +/- 84.476,uM,9368807,349.398,,
Arachidonic acid,HMDB0001043,8.50 +/- 1.58,uM,14634727,8.5,,
Arachidonic acid,HMDB0001043,660 +/- 130,uM,14608088,660.0,,
Arachidonic acid,HMDB0001043,590 +/- 120,uM,14608088,590.0,,
MG 18:1,HMDB0011567,170 +/- 170,uM,21359215,170.0,,
DG 18:0-22:6,HMDB0007179,0.254 +/- 0.032,uM,20671299,0.254,,
PS (POPS) 16:0-18:1,HMDB0012357,0.186 +/- 0.029,uM,20671299,0.186,,
PG 16:0-18:1,HMDB0010574,0.604 +/- 0.044,uM,20671299,0.604,,
PA 16:0-18:1,HMDB0007859,0.147 +/- 0.012,uM,20671299,0.147,,
PI 16:0-18:1,HMDB0009783,1.78 +/- 0.14,uM,20671299,1.78,,
Lyso PC 15:0,HMDB0010381,1.764 +/- 0.855,uM,18953024,1.764,,
Cer d8:1/22:0 Cer,HMDB0004952,0.022 +/- 0.001,uM,20671299,0.022,,
Cer d8:1/22:0 Cer,HMDB0004952,0.128 +/- 0.012,uM,20671299,0.128,,
Cer d8:1/22:0 Cer,HMDB0004952,0.040 +/- 0.002,uM,20671299,0.04,,
Cer d8:1/22:0 Cer,HMDB0004952,0.145 +/- 0.007,uM,20671299,0.145,,
Cer d8:1/22:0 Cer,HMDB0004952,1.22 +/- 0.046,uM,20671299,1.22,,
Cer d8:1/22:0 Cer,HMDB0004952,0.281 +/- 0.033,uM,20671299,0.281,,
Cer d8:1/22:0 Cer,HMDB0004952,1.00 +/- 0.029,uM,20671299,1.0,,
Cer d8:1/22:0 Cer,HMDB0004952,3.00 +/- 0.107,uM,20671299,3.0,,
Cer d8:1/22:0 Cer,HMDB0004952,0.271 +/- 0.013,uM,20671299,0.271,,
Cer d8:1/22:0 Cer,HMDB0004952,0.036 +/- 0.002,uM,20671299,0.036,,
Cer d8:1/22:0 Cer,HMDB0004952,0.061 +/- 0.0007,uM,20671299,0.061,,
Cer d8:1/22:0 Cer,HMDB0004952,0.012 +/- 0.001,uM,20671299,0.012,,
Cer d8:1/22:0 Cer,HMDB0004952,0.331 +/- 0.029,uM,20671299,0.331,,
Cer d8:1/22:0 Cer,HMDB0004952,0.008 +/- 0.001,uM,20671299,0.008,,
SM d18:1-16:0,HMDB0010169,60.00-190.0,uM,,,60.0,190.0
SM d18:1-16:0,HMDB0010169,81 +/- 0.9,uM,20671299,81.0,,
SM d18:1-16:0,HMDB0010169,114.4 +/- 19.7,uM,28278231,114.4,,
CAR 16:0,HMDB0000222,0.113 +/- 0.006,uM,16425363,0.113,,
CAR 16:0,HMDB0000222,0.050-0.180,uM,,,0.05,0.18
CAR 16:0,HMDB0000222,0.11 +/- 0.03,uM,28278231,0.11,,
CAR 16:0,HMDB0000222,0.12(0.03),uM,26010610,0.12,,
CAR 16:0,HMDB0000222,0.050-0.180,uM,,,0.05,0.18
Prostaglandin E1,HMDB0001442,<0.0001,uM,21359215,0.0001,,
Prostaglandin E1,HMDB0001442,0.0000037 (0.0000034-0.0000051),uM,8070511,3.7e-06,3.4e-06,5.1e-06
Prostaglandin E1,HMDB0001442,<0.0001,uM,21359215,0.0001,,
Cholesteryl ester 17:0,HMDB0060059,32 +/- 1,uM,20671299,32.0,,
