main_coarse_class,1C  AstraZeneca  DESI-Orbitrap  none  negative,9E  NCSU  IR-MALDESI-Orbitrap  water  negative,7A  EMBL  AP-MALDI-Orbitrap  DAN  negative,8D  JLU Giessen  AP-MALDI-Orbitrap  9AA  negative,5GI  U Copenhagen  DESI-Orbitrap  none  negative,12E  HS Mannheim  MALDI-FTICR  DAN  negative,10G  PNNL  MALDI-FTICR  NEDC  negative,3A  Dreisewerd group  MALDI2-Orbitrap  DHAP  negative,7B  Dreisewerd group  MALDI-qTOF  DHAP  negative,14D  MPI Bremen  AP-MALDI-Orbitrap  9AA  negative,1H  UT Austin  DESI-Orbitrap  none  negative,12I  HS Mannheim  MALDI-qTOF  DAN  negative,13J  Bruker  MALDI-qTOF  NEDC  negative
Amines,0.4166666666666667,0.3333333333333333,0.08333333333333333,0.0,0.08333333333333333,0.08333333333333333,0.0,0.0,0.0,0.0,0.08333333333333333,0.16666666666666666,0.4166666666666667
"Amino acids, peptides, and analogues",0.9361702127659575,0.7872340425531915,0.8085106382978723,0.7021276595744681,0.6808510638297872,0.5531914893617021,0.44680851063829785,0.5106382978723404,0.2553191489361702,0.1702127659574468,0.46808510638297873,0.6808510638297872,0.574468085106383
Carbohydrates,0.9411764705882353,0.9411764705882353,0.7647058823529411,0.5882352941176471,0.8823529411764706,0.7058823529411765,0.5294117647058824,0.17647058823529413,0.17647058823529413,0.5294117647058824,0.6470588235294118,0.35294117647058826,0.6470588235294118
Carboxylic acids,0.8421052631578947,0.7368421052631579,0.6842105263157895,0.631578947368421,0.5263157894736842,0.47368421052631576,0.3157894736842105,0.21052631578947367,0.2631578947368421,0.3684210526315789,0.631578947368421,0.5263157894736842,0.47368421052631576
Lipids and lipid-like molecules,0.7777777777777778,0.7222222222222222,0.7222222222222222,0.6388888888888888,0.75,0.6666666666666666,0.7222222222222222,0.5277777777777778,0.5,0.5,0.3888888888888889,0.3055555555555556,0.5833333333333334
"Nucleosides, nucleotides, and analogues",0.96,0.76,0.88,0.92,0.76,0.84,0.76,0.48,0.48,0.52,0.52,0.72,0.76
Vitamins and cofactors,0.875,0.8125,0.9375,0.75,0.5,0.5625,0.5625,0.625,0.4375,0.375,0.5625,0.75,0.6875
