row_id,occupancy_ratio,on_off_ratio,spot_occupancy,spot_occupancy_thresholded,image_occupancy,other_spots_occupancy,bg_occupancy,far_bg_occupancy,occupancy_vs_far_bg_ratio,in_n_spots,spot_intensity,spot_intensity_tic_norm,spot_intensity_bgr_corrected,spot_intensity_sum,spot_intensity_std,other_spot_intensity,bg_intensity,far_bg_intensity,intensity_vs_far_bg_ratio,intensity_vs_other_spots_ratio
2021-02-19_12h11m04s_C27H46O_+H__22,11.361369043051186,1390.713206280223,0.11538461538461539,0.11538461538461539,0.0003944773175542406,0.0004091653027823241,0.00015587249629802822,0.00015587249629802822,11.358116719167048,3,36.791836,4.605799e-06,36.765907,1913.1754,107.47376,0.09940672,0.025455372,0.025930287,1366.188015470963,366.4280246900775
2021-02-19_12h11m04s_C27H46O_+Na__22,0.0,0.0,0.0,0.0,2.8176951253874332e-05,0.00010229132569558102,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.016257744,0.0,0.0,0.0,0.0
2021-03-08_10h38m53s_C27H46O_+H__22,0.0,0.0,0.0,0.0,0.00922266139657444,0.007671849427168576,0.009810554803788904,0.009810554803788904,0.0,59,0.0,0.0,-2.3040886,0.0,0.0,1.7816646,2.320214,2.3040886,0.0,0.0
2021-03-24_21h05m49s_C27H46O_+H__22,0.0,0.0,0.0,0.0,0.00011532030213919161,0.0003069995906672124,4.022202558120827e-05,4.022202558120827e-05,0.0,3,0.0,0.0,-0.0048197545,0.0,0.0,0.046756595,0.0047272835,0.0048197545,0.0,0.0
2021-03-24_21h05m49s_C27H46O_+Na__22,0.0,0.0,0.0,0.0,2.8830075534797902e-05,0.00010233319688907081,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.015275388,0.0,0.0,0.0,0.0
2021-04-11_21h56m24s_C27H46O_+Na__22,0.0,0.0,0.0,0.0,2.7548209366391185e-05,0.00010241704219582139,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.018366488,0.0,0.0,0.0,0.0
2021-04-11_21h56m24s_C27H46O_+H__22,0.0,0.0,0.0,0.0,2.7548209366391185e-05,0.0,3.7758646730101195e-05,3.7758646730101195e-05,0.0,0,0.0,0.0,-0.0056997435,0.0,0.0,0.0,0.005597947,0.0056997435,0.0,0.0
2021-04-26_16h00m28s_C27H46O_+H__22,0.0,0.0,0.0,0.0,0.00013736263736263736,0.00020458265139116204,0.00011290079783230468,0.00011290079783230468,0.0,2,0.0,0.0,-0.010461951,0.0,0.0,0.03333337,0.010277689,0.010461951,0.0,0.0
2021-04-26_16h00m28s_C27H46O_+Na__22,3.8174211863140597,684.9071677642618,0.038461538461538464,0.038461538461538464,0.00010989010989010989,0.0,7.52671985548698e-05,7.52671985548698e-05,3.8169099756690996,1,5.082219,5.6996764e-06,5.0756836,264.2754,25.91977,0.0,0.0064203036,0.006535409,674.4450250055894,5082.219123840332
2021-02-16_06h28m34s_C42H81NO12S_+K__36,0.0,0.0,0.0,0.0,0.0003306289580101223,0.0013297872340425532,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.68340075,0.0,0.0,0.0,0.0
